Cell ID,Yao2021_CTKE_Ttype_M1,Tasic2018_Ttype_VISp,Subclass,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (M?),Latency (ms),Latency @ +20pA current (ms),Max number of APs,Membrane time constant (ms),Rebound (mV),Rebound APs (number),Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Spike frequency adaptation,Upstroke-to-downstroke ratio,Wildness,Age (postnatal days),Sex,Mouse genotype,Targeted layer,Inferred layer,Cre (+ or -),CTKE T type confidence
20171219_sample_3,L4/5 IT_2,L5 IT ALM Lypd1 Gpr88,IT,4.045097492,90.89738131,0.554456604,1.008381187,0.249557696,-42.49136522,1.6,0,-0.213224441,0.456954667,0.008497638,2.022573363,1.658604209,0.391745494,124.0031567,104.12,71.04,11,14.1118661,1.810213332,0,-73.18689967,120,0,1.097184561,0,0.571428571,4.657879656,0,61,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.99
20171219_sample_4,L5 ET_1,L5 PT VISp Krt80,ET,3.969004038,97.28781506,0.713558325,1.173816883,0.263997095,-44.00912672,1.2,0,1.417726278,0.611940299,0.002766586,1.590643275,2.531021494,0.31558286,113.4507598,61.12,38.6,22,12.03143886,3.162182955,0,-70.11492037,120,46.67316791,1.209165811,0.50656,0.833333333,3.639069763,0,61,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.96
20171219_sample_6,L5 ET_2,L5 PT VISp Lgr5,ET,2.404900503,102.0408794,0.904810935,0.989830361,0.212983643,-46.82984203,1.2,0,0.434536487,0.260042283,0.001808842,0.819391635,1.394963972,0.277207207,115.032887,140.76,87.84,26,16.47132136,4.739403243,0,-71.35295615,100,48.54138727,1.343978242,0.52764,0.733333333,3.574747912,0,61,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.82
20171219_sample_7,L5 IT_1,L5 IT ALM Lypd1 Gpr88,IT,4.178451183,93.87445077,0.58897884,1.019951208,0.286900001,-41.42736644,1.36,0,-2.598777413,0.531003382,0.004493657,1.945606695,1.741799618,0.349918507,128.009015,151.04,91.28,17,14.25514508,1.41003779,0,-71.56800869,80,0,1.084291537,0,0.888888889,4.050946877,0,61,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.61
20171219_sample_8,L5 ET_1,L5 PT VISp Krt80,ET,3.94983506,94.58387643,0.654061642,1.013810256,0.238040319,-44.09329966,1.32,0,-0.927560031,0.782131661,0.010668236,1.601190476,9.938035537,0.489011372,86.88685082,133.56,72.68,14,15.4859378,2.535858954,0,-70.98551642,160,0,1.202653778,0,1,3.95051404,0,61,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.88
20180102_sample_1,L5 ET_1,L5 PT ALM Slco2a1,ET,3.747252182,90.95333144,0.789739764,0.972043019,0.257115464,-43.02830249,1.52,0,2.688586712,0,0.016957805,0.791666667,1.487554953,0.498609786,127.7595769,224.28,109.16,9,25.29833931,6.929951644,0,-67.40421433,60,44.6317729,1.442181044,0.49208,0.8,3.72306329,0,75,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,1
20180102_sample_2,L5 IT_1,L5 IT ALM Gkn1 Pcdh19,IT,3.755115964,92.02490747,0.571530649,1.026657584,0.242162607,-41.75026715,1.6,0,0.686887652,0.673952641,0.005369067,10.05263158,2.843696257,0.345901742,220.1878137,69.92,41.72,14,21.8061899,3.231074231,0,-61.27977625,40,0,1.095424187,0,0.75,4.410931045,0,75,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.61
20180102_sample_3,L5 ET_1,L5 PT ALM Slco2a1,ET,1.182404953,88.61049265,0.936613487,0.994892745,0.139220728,-32.62410685,1.76,0,5.753971636,0.181270903,0.001538007,1.375464684,1.105171723,0.212070901,144.1283178,334.88,110.84,18,20.89199349,0.521762164,0,-62.62846446,63.15789474,0,1.049684823,0,0.8,3.958119059,0,75,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,1
20180102_sample_4,L5 ET_1,L5 PT VISp Krt80,ET,4.513530658,96.5481326,0.609366386,1.061829131,0.270584086,-48.23116586,1.44,0,-2.156618983,0.306740028,0.003561393,3.642857143,1.946907653,0.307860986,161.2430673,85.16,54.48,16,23.0187651,4.522204402,0,-67.46532682,60,33.53944538,1.278516775,0.38708,0.777777778,3.870729001,0,75,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.92
20180102_sample_5,L4/5 IT_2,L5 IT ALM Lypd1 Gpr88,IT,0.928787546,98.40298072,0.881057229,0.985645038,0.111967754,-43.36781055,1.76,0,1.299969852,0.253661686,0.002989662,1.349386213,1.484760522,0.224330642,152.7952694,218.04,101.12,11,22.62061286,5.203610278,0,-63.12547331,20,0,1.153796987,0,0.833333333,5.269150915,0,75,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.86
20180103_sample_1,L5 ET_1,L5 PT VISp Krt80,ET,4.717637352,94.37024966,0.684545858,1.009347298,0.266782504,-45.07725686,1.4,0,-1.66894123,0.539280959,0.004459921,6.084033613,2.155459593,0.340079186,118.7520899,101.48,64.12,16,22.38400198,5.073435429,0,-64.56499718,60,37.74245439,1.252044977,0.4334,0.777777778,3.762875212,0,68,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.91
20180103_sample_2,L5 ET_1,L5 PT ALM Slco2a1,ET,2.482416316,93.32762659,0.712288462,1.007319703,0.214480283,-47.74453491,1.2,0,-3.841333091,0.704517705,0.002318,12.68137255,3.956212245,0.29962035,76.66500811,76.24,53.24,24,18.68131079,5.790922965,0,-67.68234916,61.33333333,45.51989159,1.407133388,0.52408,0.846153846,3.406218139,0,68,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.95
20180103_sample_3,L5 ET_1,L5 PT ALM Slco2a1,ET,1.526965633,93.89436617,0.903416879,0.991393137,0.156330467,-35.66132858,1.2,0,1.243777573,0.556179775,0.001435586,2.118095238,1.137911882,0.242734401,120.0458253,114.32,61.32,25,12.83817586,3.019882614,0,-64.27815756,90,33.44659307,1.181623023,0.36516,0.785714286,3.683480488,0,68,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.98
20180103_sample_5,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,1.794993752,80.34335449,0.91429298,0.993582194,0.178402362,-33.45785663,1.52,0,7.878366858,0.368960469,0.001707442,1.684023669,1.144854681,0.22206113,104.0258161,151.24,79.96,18,18.81053596,1.373861687,0,-64.25594577,100,0,1.028272716,0,0.8,3.751907531,0,68,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.97
20180103_sample_6,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,1.52585033,91.49793163,0.848975287,0.996385368,0.154822918,-36.73709184,1.52,0,-0.230226666,0.357907253,0.001658858,1.581145585,1.146495007,0.230668621,134.7454681,159.28,83.6,20,16.93515851,0.973392596,0,-64.11325778,100,0,1.060357989,0,0.818181818,3.719712832,0,68,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.99
20180103_sample_7,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,3.404813021,95.22538632,0.725982188,1.003288328,0.247257296,-44.34711486,1.32,0,0.778272748,0.419548872,0.003362644,3.886363636,1.758742825,0.350625005,242.0003392,166.16,80.48,22,23.16675321,5.496882739,0,-63.14229732,20,45.5404496,1.124168969,0.42852,0.571428571,3.859637507,0,68,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.93
20180103_sample_8,L5 IT_3,L5 IT VISp Col27a1,IT,1.61467576,94.1664353,0.937955693,0.99654044,0.158941777,-33.24213251,1.12,2.142645419,5.705725402,0.653206651,0.001754411,1.541811381,1.50232425,0.266422381,125.8936013,106.48,64.12,25,10.60284105,1.130064129,0,-69.72007582,140,0,1.102257223,0,0.785714286,3.2899649,0,68,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.54
20180104_sample_2,L5 IT_3,L5 IT VISp Col27a1,IT,2.164876739,85.32115445,0.684777525,1.006071454,0.201607976,-34.47734192,1.44,0,3.619577736,0,0.002156219,1.441558442,1.44424111,0.307018116,195.810905,162.16,73.76,26,17.34804705,2.566231327,0,-66.02219138,63.7037037,0,1.145978908,0,0.625,3.869255077,0,69,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.48
20180104_sample_3,L4/5 IT_2,L5 IT ALM Tmem163 Dmrtb1,IT,2.219260548,84.21312273,0.962823558,0.984913301,0.210553285,-44.92177069,1.6,0,7.933363318,0.35131821,0.002151815,1.424242424,1.190157867,0.217003274,142.4280832,114.36,61.56,14,25.04787133,3.147939326,0,-63.82608583,60,0,1.070014407,0,0.75,4.316944494,0,69,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.86
20180104_sample_6,L5 ET_4,L5 PT VISp Lgr5,ET,0.956441871,90.42133018,0.962082523,0.995203535,0.120279703,-39.32959214,1.24,0,4.119504243,0.601877934,0.002179184,1.575087311,1.219623434,0.270938716,248.3759255,75.92,42.4,21,24.06311462,2.061701888,0,-65.76600203,60,0,1.133378804,0,0.75,3.689367404,0,69,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.48
20180105_sample_4,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,1.555164272,92.89172292,0.690116374,1.025374241,0.160711917,-37.24861145,1.36,0,1.136954874,0.549188157,0.001578394,2.25,7.61214182,0.225286311,133.11866,102.76,78.56,20,22.70980412,2.36399671,0,-64.01220431,100,0,1.108287509,0,0.818181818,3.736730307,0,70,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.62
20180105_sample_5,L5 IT_1,L4 IT VISp Rspo1,IT,3.7333119,83.8049762,0.566638251,1.04227409,0.259650548,-38.04309294,1.84,0,-8.072700351,0,0.006758697,2.196153846,2.370384918,0.371708983,150.0154563,153.24,113.76,13,19.81286654,2.192795211,0,-63.13222422,60,0,1.075439732,0,0.625,5.116970831,0,70,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.91
20180105_sample_6,L5 IT_1,L5 IT ALM Gkn1 Pcdh19,IT,0.571825048,96.03945911,0.885647793,0.99515143,0.086322734,-38.99679706,1.32,0,3.136444837,0.62254902,0.002489662,2.973021583,1.590741636,0.250967655,122.5172862,228.44,108.8,16,20.44635573,1.373118951,0,-68.41704486,60,0,1.095295401,0,0.777777778,4.048083057,0,70,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.45
20180108_sample_1,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,2.857232547,89.68296647,0.70086898,1.003279423,0.218473865,-43.13671961,1.72,0,-1.705661416,0,0.004520917,3.998822144,1.722966027,0.305132755,160.6571673,208.96,105.16,13,27.35866078,2.99954088,0,-63.56570622,40,0,1.147550761,0,0.857142857,4.106889015,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,1
20180108_sample_10,L5 ET_1,L5 PT VISp Krt80,ET,4.669494258,95.10144964,0.958352229,0.99486465,0.28244865,-34.97458622,1.48,2.963732928,-0.210452825,0.585937628,0.002479679,1.455731594,1.131991147,0.295665662,61.04218295,101.64,65.04,22,12.7744627,0,0,-59.83617318,200,0,1.005345023,0,0.75,4.254851774,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.96
20180108_sample_3,L5 IT_1,L5 IT ALM Tmem163 Arhgap25,IT,1.442824504,91.01602808,0.792044421,0.999673519,0.158595647,-34.84579548,1.44,0,2.835076302,0.559432933,0.001916897,4.432065217,2.12343789,0.241616847,189.9134945,131.44,81.44,19,31.89046103,2.003498293,0,-59.23592342,60,0,1.092268467,0,0.727272727,4.209388827,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.82
20180108_sample_4,L5 ET_4,L5 PT VISp Lgr5,ET,3.595045229,97.37870097,0.658876155,0.996121176,0.225004076,-41.31634533,1.16,0,-1.316532493,0.636761488,0.003806423,1.331034483,5.399344679,0.348874341,88.79589218,55.56,34.8,20,16.56010961,5.620384136,0,-62.16723998,80,36.24814581,1.403069777,0.4398,0.818181818,2.75779069,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.49
20180108_sample_5,L5 ET_2,L5 PT ALM Hpgd,ET,2.385200165,93.66135299,0.884983605,0.982075959,0.200669209,-37.61433065,1.32,0.752646476,-1.721665263,0.598134671,0.004077834,5.743589744,2.415650434,0.322519441,34.74395551,215.76,93,16,22.8241877,2.560608596,0,-66.20478718,160,0,1.683640569,0,0.666666667,3.860522021,1,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.58
20180108_sample_7,L5 IT_1,L5 IT VISp Hsd11b1 Endou,IT,2.560651078,90.12246877,0.688563891,1.013545265,0.205983315,-33.62811357,1.68,0,-1.093938947,0.684080565,0.003447988,9.007117438,3.090044872,0.286561165,121.220026,491.4,130.64,15,28.78391334,2.997116579,0,-53.21792031,24,0,1.153386914,0,0.666666667,4.135040649,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.97
20180108_sample_8,L5 ET_1,L5 PT ALM Slco2a1,ET,5.132275288,93.9767994,0.848272405,0.996965404,0.287077176,-42.04165936,1.32,0,4.026077688,0.314285714,0.003332567,7.652849741,2.007741707,0.384645557,111.5723257,95,45.72,28,15.57033666,3.637305624,0,-64.88404997,80,48.23204971,1.241780581,0.54904,0.625,3.091446468,1,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.94
20180108_sample_9,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,8.713250821,89.73200992,0.953025656,0.998107581,0.460956912,-34.03988853,1.72,0,-0.520482659,0.470655926,0.00108615,2.232131148,1.470258738,0.22539332,155.8336402,130.92,83.64,29,15.76133995,0.724418371,0,-68.06744345,140,0,1.037761709,0,0.866666667,3.754616688,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.92
20180109_sample_1,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,3.729759595,87.04487234,0.626557066,1.01114323,0.251764257,-37.73704171,1.88,0,0.939033926,0.654794521,0.003647872,3.512027491,2.141499128,0.315876052,216.1138954,347.08,129.92,17,30.66890769,4.423760088,0,-65.78021984,40,54.82061283,1.161431129,0.50772,0.888888889,4.755158172,0,65,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.73
20180109_sample_2,L5 IT_3,L5 IT VISp Col27a1,IT,1.917029588,94.10649166,0.849697891,0.996322603,0.179372904,-36.00249812,1.4,0,1.836869866,0.47255113,0.002022956,1.243181818,1.162049072,0.263399151,197.6681167,110.36,71.72,21,20.34176638,3.156327132,0,-63.79928764,60,49.25979518,1.131351509,0.48756,0.75,3.77142678,0,65,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.55
20180109_sample_5,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,1.028995534,83.80269632,0.898127431,0.993531145,0.12596101,-35.80684215,1.6,0,4.488416016,0.565071369,0.002364041,1.538606403,1.436882518,0.255725123,110.3527204,235.2,93.4,17,20.76362849,1.960971168,0,-68.53561621,41.33333333,0,1.063441229,0,0.7,4.026119084,0,65,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.72
20180110_sample_1,L5 IT_1,L5 IT VISp Col27a1,IT,2.742348668,91.83963016,0.932580378,0.992203535,0.217287784,-35.72043404,1.72,0,4.146996886,0.345454545,0.001365575,1.222385862,1.045606826,0.203945901,112.354616,144.24,51.92,19,12.57923395,0.356076667,0,-60.07418734,61.81818182,0,1.037942773,0,0.727272727,4.32329614,0,66,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.85
20180110_sample_2,L5 IT_2,L5 IT ALM Gkn1 Pcdh19,IT,1.114086148,92.67126024,0.940405579,0.98767163,0.127971905,-34.60662439,1.4,0,6.274357438,0.616129032,0.002074221,1.266896552,1.12516127,0.229530878,113.8002393,138.56,82.72,16,15.23519072,0.705576239,0,-66.89253149,121.3333333,0,1.054805482,0,0.777777778,3.78509964,0,66,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.55
20180110_sample_3,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,5.252913275,86.2441361,0.590921526,1.029859895,0.296451887,-38.21760044,1.48,0,0.368289649,0.726384365,0.010028695,2.233183857,3.571942446,0.455322605,118.8319007,150.32,91.16,13,23.28958439,2.781208029,0,-66.4440311,100,0,1.165010602,0,0.625,3.46767,0,66,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,1
20180110_sample_4,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,0.806313557,86.61612682,0.930420523,0.990552517,0.11102074,-29.82886694,1.44,0,7.980657741,0.137777778,0.001153283,1.188647746,1.046429016,0.176436507,105.6785214,143.72,57.88,17,15.80370125,0.877252576,0,-55.51497178,100,0,1.067301695,0,0.888888889,3.999784755,0,66,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.61
20180110_sample_5,L5 IT_2,L5 IT VISp Col6a1 Fezf2,IT,3.181038841,79.84795421,0.788551869,0.975426821,0.244436595,-31.22999519,1.36,0,5.705695599,0.714695341,0.004380088,1.523773585,1.182769836,0.31052445,93.14789827,103.16,60.96,14,13.48298153,0.623676306,0,-64.78783897,174.2857143,0,1.085813615,0,0.75,3.486978461,0,66,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.46
20180110_sample_7,L5 IT_1,L5 IT ALM Gkn1 Pcdh19,IT,0.83507309,94.57208589,0.946897625,0.995171818,0.108866062,-34.2535004,1.48,0,5.724009126,0.364688857,0.001567122,1.399538106,1.097914418,0.207235685,179.1601717,246.04,116,17,19.59632351,1.095876782,0,-62.1809022,40,0,1.070408024,0,0.888888889,4.31893971,0,66,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.69
20180110_sample_8,L5 ET_4,L5 PT ALM Npsr1,ET,4.299425602,97.00382501,0.510076623,1.141664049,0.261845732,-46.69311643,1.28,0,-7.477246225,0.622030238,0.004236146,1.108695652,3.353616648,0.348648457,58.54866401,68.56,43.6,18,18.43137204,5.8742332,0,-62.55477581,60,40.69429517,1.570780645,0.52904,0.8,3.355017859,0,66,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.93
20180111_sample_5,L5 IT_3,L5 IT VISp Col27a1,IT,2.574780264,86.8573226,0.963871748,0.991383708,0.215775355,-37.99674287,1.48,0,3.319878131,0.644341801,0.001415034,1.283647799,1.119586009,0.234240188,114.837743,141.28,49.88,24,12.69051438,0.323706876,0,-61.7044752,61.17647059,0,0.99404402,0,0.916666667,3.694470215,0,67,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.61
20180115_sample_2,L5 IT_1,L5 IT VISp Hsd11b1 Endou,IT,0.824224395,85.95578559,0.808024837,0.953809934,0.108095735,-29.88890745,1.56,0,6.541127339,0,0.011847788,1.867309118,1.522096673,0.359263476,75.9901591,86.96,64.76,7,20.39322937,2.153652277,0,-61.52877375,200,0,1.191644233,0,0.75,4.095273444,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.49
20180115_sample_5,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,2.075094847,82.72863925,0.887697776,0.972208011,0.200821292,-38.36807981,2.12,0,2.649564296,0,0.001746213,1.370101597,1.263031637,0.171561049,56.87532853,117.56,66.84,11,15.98611059,0.33668135,0,-58.51733435,160,0,1.014956033,0,0.833333333,5.911038992,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.96
20180115_sample_7,L5 IT_1,L5 IT ALM Gkn1 Pcdh19,IT,1.673303694,95.2193439,0.730760713,1.007344071,0.160587711,-42.97556728,1.12,0,-0.181850046,0.629353234,0.003196802,19.83935743,7.197525317,0.296351542,55.12713686,107.52,66.28,17,15.24805184,2.252854478,0,-62.56870669,120,0,1.240180713,0,0.888888889,3.187008331,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.74
20180115_sample_8,L5 IT_1,L5 IT ALM Tmem163 Arhgap25,IT,6.562762737,94.63605657,0.693797921,1.004662382,0.34604218,-39.54689205,1.64,0,-1.995649189,0.567951318,0.00357624,2.31880109,4.422960725,0.303805884,147.8500934,234.92,110.08,16,21.06489292,3.63533999,0,-58.76536375,40,0,1.112146279,0,0.666666667,4.60056899,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.86
20180115_sample_9,L5 IT_1,L4 IT VISp Rspo1,IT,2.200280471,97.11662307,0.7788281,1.002111486,0.194804552,-34.91041064,1.32,0,3.132201731,0.564593301,0.001566025,5.733333333,3.256157718,0.242042948,145.4592011,144.52,73.16,23,21.86643074,3.635566145,0,-58.56306922,80,0,1.104219667,0,0.769230769,4.107411825,0,64,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.66
20180118_sample_1,L5 IT_2,L4 IT VISp Rspo1,IT,5.633269013,86.37119085,0.696401289,1.031426352,0.311618309,-22.01119065,1.68,0,1.582318917,0.6875,0.00522295,16.99193548,9.273020423,0.352701378,93.15960376,238.92,146.48,15,29.67003114,0,0,-54.75793966,180,0,1.114570463,0,0.875,4.602074433,0,67,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.55
20180118_sample_10,L5 ET_4,L5 PT ALM Npsr1,ET,4.093171624,95.59965134,0.727459214,1.01459184,0.267723377,-41.51656851,1.16,0,-3.074802458,0.527559055,0.001869922,17.85276074,6.610956351,0.297201697,61.97245725,129.72,44.88,29,15.46206082,5.004876299,0,-58.04416242,40,35.9376211,1.52071412,0.4968,0.866666667,3.029098254,0,67,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.91
20180118_sample_2,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,3.817130021,91.00639448,0.954467703,0.992412411,0.255506301,-39.87758607,1.36,0,4.150163382,0.339755941,0.003256685,1.550883095,1.211349709,0.295970048,150.1922137,117.68,73,17,27.13149057,3.798765407,0,-66.52738077,80,0,1.159516489,0,0.777777778,3.859498902,0,67,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.95
