Cell ID,Yao2021_CTKE_Ttype_M1,Tasic2018_Ttype_VISp,Subclass,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (M?),Latency (ms),Latency @ +20pA current (ms),Max number of APs,Membrane time constant (ms),Rebound (mV),Rebound APs (number),Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Spike frequency adaptation,Upstroke-to-downstroke ratio,Wildness,Age (postnatal days),Sex,Mouse genotype,Targeted layer,Inferred layer,Cre (+ or -),CTKE T type confidence
20171204_sample_2,L5 ET_1,L5 PT ALM Slco2a1,ET,0.940204638,92.47087315,0.921983173,0.981921882,0.116992499,-27.95461193,1.28,0,3.216313198,0.685689201,0.002570398,2.148330804,1.268088891,0.256077788,72.72588842,111.8,60.48,16,9.703707095,1.089137456,0,-66.97065471,300,0,1.132151315,0,0.777777778,3.432580284,0,36,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.88
20171204_sample_4,L5 IT_2,L6 IT VISp Penk Fst,IT,1.064081761,88.16828951,0.902157012,0.979377468,0.124814246,-27.82125399,1.4,0,6.441455334,0.537117904,0.001813124,1.153637351,1.081848074,0.208362079,71.3817837,76.16,45.72,15,7.27796177,0.111788465,0,-63.5307752,294.2857143,0,1.033265201,0,0.875,3.89301414,0,36,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.52
20171204_sample_5,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,1.694838312,85.79682373,0.859043905,0.991825468,0.172710602,-26.36340074,1.4,0,0.620668754,0.495403473,0.002006789,1.192792793,1.065275438,0.24914688,120.178483,62.56,35.6,19,6.871188907,0.629718922,0,-74.63592041,300,0,1.08129731,0,0.727272727,3.971288843,0,36,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.97
20171204_sample_6,L5 ET_4,L5 PT ALM Npsr1,ET,1.537930448,97.31810167,0.930626886,0.98417149,0.14860441,-25.52098408,1.2,0,-4.595445469,0.60419092,0.002620608,2.312641938,1.199242163,0.296179056,63.11074825,26.36,20.4,21,4.279462303,0.790131027,0,-59.41603728,400,0,1.137955091,0,0.75,3.527453474,0,36,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.94
20171207_sample_1,L5 ET_1,L5 PT VISp Krt80,ET,0.272787218,86.94748208,0.916318366,1.000184369,0.061926764,-44.82974485,0.84,0,4.912097007,0.699328859,0.000957749,19.17808219,5.600453266,0.219646268,39.94080752,79.84,49.76,31,10.14339557,1.748333375,0,-70.58059254,231.1111111,0,1.333921514,0,0.823529412,2.601883042,0,80,F,Sst-IRES-Cre/wt; Ai9/wt,L5,L5,SST-,0.91
20171207_sample_2,L5 ET_1,L5 PT ALM Slco2a1,ET,0.726064555,87.67633885,0.773740107,1.01625556,0.120695268,-47.62844369,0.92,0,-1.731306314,0.479638009,0.000590397,35.18181818,10.2695069,0.216063671,38.52703514,80.84,42.28,48,9.520988082,0.713957088,0,-67.97857887,240,0,1.168524678,0,0.777777778,2.754523999,0,80,F,Sst-IRES-Cre/wt; Ai9/wt,L5,L5,SST-,0.9
20171207_sample_6,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,0.28996059,83.90875906,0.979456416,0.995856715,0.066067541,-43.76504198,0.92,0,11.59399748,0.169892473,0.000395206,1.252620545,1.073060611,0.133701354,100.0777001,45.4,25.96,28,12.17149269,0.788821922,0,-64.71374691,80,0,1.059898919,0,0.866666667,2.98784459,0,80,F,Sst-IRES-Cre/wt; Ai9/wt,L5,L5,SST-,0.94
20171207_sample_7,L5 IT_1,L5 IT ALM Gkn1 Pcdh19,IT,0.982694414,82.13865384,0.958832622,0.994187497,0.128704569,-43.91568154,0.96,0,12.14084774,0.245468845,0.00056365,1.275769746,1.066162004,0.162487674,96.5828671,40,25.44,29,11.97676398,0.395203548,0,-67.88246461,100.7407407,0,1.056452323,0,0.866666667,3.003977377,0,80,F,Sst-IRES-Cre/wt; Ai9/wt,L5,L5,SST-,0.49
20171219_sample_1,L4/5 IT_2,L5 IT ALM Lypd1 Gpr88,IT,2.545270977,102.0633727,0.632451783,0.99459938,0.195746,-44.96759549,2.04,0,-2.867337316,0,0.005630477,1.89893617,1.319652896,0.332475909,178.4040585,168.04,113.96,12,22.32466381,1.668383201,0,-71.85459976,60,0,1.088934285,0,0.571428571,5.495025566,1,61,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.99
20171219_sample_2,L5 IT_1,L5 IT ALM Cpa6 Gpr88,IT,3.611221866,95.36909685,0.591789403,1.044866641,0.252151446,-46.30681872,1.6,0,-0.864814967,0.577220077,0.002806246,1.933333333,1.767085794,0.284191576,177.9086545,127.08,77.04,18,22.10741878,2.948117019,0,-69.68299843,60,0,1.122138737,0,0.8,4.924787459,0,61,M,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV-,0.99
