cell_type,annotation_name,term_order,unique_identifier,color,alias,parent_term
5269_OPC NN_1_7,subcluster,509,CS20260131_SCLU_509,#a55194,5269_OPC NN_1_7,5269_OPC NN_1
5269_OPC NN_1_8,subcluster,510,CS20260131_SCLU_510,#ce6dbd,5269_OPC NN_1_8,5269_OPC NN_1
5269_OPC NN_1_9,subcluster,511,CS20260131_SCLU_511,#de9ed6,5269_OPC NN_1_9,5269_OPC NN_1
5269_OPC NN_1_10,subcluster,512,CS20260131_SCLU_512,#3182bd,5269_OPC NN_1_10,5269_OPC NN_1
5269_OPC NN_1_11,subcluster,513,CS20260131_SCLU_513,#6baed6,5269_OPC NN_1_11,5269_OPC NN_1
5271_OPC NN_2_1,subcluster,514,CS20260131_SCLU_514,#9ecae1,5271_OPC NN_2_1,5271_OPC NN_2
5271_OPC NN_2_2,subcluster,515,CS20260131_SCLU_515,#c6dbef,5271_OPC NN_2_2,5271_OPC NN_2
5272_COP NN_1_1,subcluster,516,CS20260131_SCLU_516,#e6550d,5272_COP NN_1_1,5272_COP NN_1
5273_COP NN_1_1,subcluster,517,CS20260131_SCLU_517,#fd8d3c,5273_COP NN_1_1,5273_COP NN_1
5273_COP NN_1_2,subcluster,518,CS20260131_SCLU_518,#fdae6b,5273_COP NN_1_2,5273_COP NN_1
5275_COP NN_1_1,subcluster,519,CS20260131_SCLU_519,#fdd0a2,5275_COP NN_1_1,5275_COP NN_1
5275_COP NN_1_2,subcluster,520,CS20260131_SCLU_520,#31a354,5275_COP NN_1_2,5275_COP NN_1
5275_COP NN_1_3,subcluster,521,CS20260131_SCLU_521,#74c476,5275_COP NN_1_3,5275_COP NN_1
5279_NFOL NN_2_1,subcluster,522,CS20260131_SCLU_522,#a1d99b,5279_NFOL NN_2_1,5279_NFOL NN_2
5280_NFOL NN_2_1,subcluster,523,CS20260131_SCLU_523,#c7e9c0,5280_NFOL NN_2_1,5280_NFOL NN_2
5281_NFOL NN_2_1,subcluster,524,CS20260131_SCLU_524,#756bb1,5281_NFOL NN_2_1,5281_NFOL NN_2
5283_MFOL NN_3_1,subcluster,525,CS20260131_SCLU_525,#9e9ac8,5283_MFOL NN_3_1,5283_MFOL NN_3
5284_MOL NN_4_1,subcluster,526,CS20260131_SCLU_526,#bcbddc,5284_MOL NN_4_1,5284_MOL NN_4
5284_MOL NN_4_2,subcluster,527,CS20260131_SCLU_527,#dadaeb,5284_MOL NN_4_2,5284_MOL NN_4
5285_MOL NN_4_1,subcluster,528,CS20260131_SCLU_528,#636363,5285_MOL NN_4_1,5285_MOL NN_4
5286_MOL NN_4_1,subcluster,529,CS20260131_SCLU_529,#969696,5286_MOL NN_4_1,5286_MOL NN_4
5288_MOL NN_4_1,subcluster,530,CS20260131_SCLU_530,#bdbdbd,5288_MOL NN_4_1,5288_MOL NN_4
5288_MOL NN_4_2,subcluster,531,CS20260131_SCLU_531,#d9d9d9,5288_MOL NN_4_2,5288_MOL NN_4
5288_MOL NN_4_3,subcluster,532,CS20260131_SCLU_532,#393b79,5288_MOL NN_4_3,5288_MOL NN_4
5288_MOL NN_4_4,subcluster,533,CS20260131_SCLU_533,#5254a3,5288_MOL NN_4_4,5288_MOL NN_4
5288_MOL NN_4_5,subcluster,534,CS20260131_SCLU_534,#6b6ecf,5288_MOL NN_4_5,5288_MOL NN_4
5288_MOL NN_4_6,subcluster,535,CS20260131_SCLU_535,#9c9ede,5288_MOL NN_4_6,5288_MOL NN_4
5288_MOL NN_4_7,subcluster,536,CS20260131_SCLU_536,#637939,5288_MOL NN_4_7,5288_MOL NN_4
5288_MOL NN_4_8,subcluster,537,CS20260131_SCLU_537,#8ca252,5288_MOL NN_4_8,5288_MOL NN_4
CGE GABA_1,subcluster,538,CS20260131_SCLU_538,#d9d9d9,CGE GABA_1,CGE GABA
CGE GABA_2,subcluster,539,CS20260131_SCLU_539,#393b79,CGE GABA_2,CGE GABA
CGE GABA_3,subcluster,540,CS20260131_SCLU_540,#5254a3,CGE GABA_3,CGE GABA
623_Vip Gaba_1_1,subcluster,541,CS20260131_SCLU_541,#843c39,623_Vip Gaba_1_1,623_Vip Gaba_1
624_Vip Gaba_1_1,subcluster,542,CS20260131_SCLU_542,#ad494a,624_Vip Gaba_1_1,624_Vip Gaba_1
624_Vip Gaba_1_2,subcluster,543,CS20260131_SCLU_543,#d6616b,624_Vip Gaba_1_2,624_Vip Gaba_1
624_Vip Gaba_1_3,subcluster,544,CS20260131_SCLU_544,#e7969c,624_Vip Gaba_1_3,624_Vip Gaba_1
627_Vip Gaba_2_1,subcluster,545,CS20260131_SCLU_545,#7b4173,627_Vip Gaba_2_1,627_Vip Gaba_2
627_Vip Gaba_2_2,subcluster,546,CS20260131_SCLU_546,#a55194,627_Vip Gaba_2_2,627_Vip Gaba_2
629_Vip Gaba_2_1,subcluster,547,CS20260131_SCLU_547,#ce6dbd,629_Vip Gaba_2_1,629_Vip Gaba_2
633_Vip Gaba_3_1,subcluster,548,CS20260131_SCLU_548,#de9ed6,633_Vip Gaba_3_1,633_Vip Gaba_3
638_Vip Gaba_4_1,subcluster,549,CS20260131_SCLU_549,#3182bd,638_Vip Gaba_4_1,638_Vip Gaba_4
639_Vip Gaba_4_1,subcluster,550,CS20260131_SCLU_550,#6baed6,639_Vip Gaba_4_1,639_Vip Gaba_4
639_Vip Gaba_4_2,subcluster,551,CS20260131_SCLU_551,#9ecae1,639_Vip Gaba_4_2,639_Vip Gaba_4
639_Vip Gaba_4_3,subcluster,552,CS20260131_SCLU_552,#c6dbef,639_Vip Gaba_4_3,639_Vip Gaba_4
640_Vip Gaba_5_1,subcluster,553,CS20260131_SCLU_553,#e6550d,640_Vip Gaba_5_1,640_Vip Gaba_5
641_Vip Gaba_5_1,subcluster,554,CS20260131_SCLU_554,#fd8d3c,641_Vip Gaba_5_1,641_Vip Gaba_5
641_Vip Gaba_5_2,subcluster,555,CS20260131_SCLU_555,#fdae6b,641_Vip Gaba_5_2,641_Vip Gaba_5
641_Vip Gaba_5_3,subcluster,556,CS20260131_SCLU_556,#fdd0a2,641_Vip Gaba_5_3,641_Vip Gaba_5
641_Vip Gaba_5_4,subcluster,557,CS20260131_SCLU_557,#31a354,641_Vip Gaba_5_4,641_Vip Gaba_5
641_Vip Gaba_5_5,subcluster,558,CS20260131_SCLU_558,#74c476,641_Vip Gaba_5_5,641_Vip Gaba_5
643_Vip Gaba_5_1,subcluster,559,CS20260131_SCLU_559,#a1d99b,643_Vip Gaba_5_1,643_Vip Gaba_5
645_Vip Gaba_6_1,subcluster,560,CS20260131_SCLU_560,#c7e9c0,645_Vip Gaba_6_1,645_Vip Gaba_6
645_Vip Gaba_6_2,subcluster,561,CS20260131_SCLU_561,#756bb1,645_Vip Gaba_6_2,645_Vip Gaba_6
645_Vip Gaba_6_3,subcluster,562,CS20260131_SCLU_562,#9e9ac8,645_Vip Gaba_6_3,645_Vip Gaba_6
646_Vip Gaba_6_1,subcluster,563,CS20260131_SCLU_563,#bcbddc,646_Vip Gaba_6_1,646_Vip Gaba_6
648_Vip Gaba_6_1,subcluster,564,CS20260131_SCLU_564,#dadaeb,648_Vip Gaba_6_1,648_Vip Gaba_6
660_Vip Gaba_11_1,subcluster,565,CS20260131_SCLU_565,#636363,660_Vip Gaba_11_1,660_Vip Gaba_11
661_Vip Gaba_11_1,subcluster,566,CS20260131_SCLU_566,#969696,661_Vip Gaba_11_1,661_Vip Gaba_11
662_Vip Gaba_12_1,subcluster,567,CS20260131_SCLU_567,#bdbdbd,662_Vip Gaba_12_1,662_Vip Gaba_12
663_Vip Gaba_12_1,subcluster,568,CS20260131_SCLU_568,#d9d9d9,663_Vip Gaba_12_1,663_Vip Gaba_12
673_Sncg Gaba_3_1,subcluster,569,CS20260131_SCLU_569,#393b79,673_Sncg Gaba_3_1,673_Sncg Gaba_3
676_Sncg Gaba_3_1,subcluster,570,CS20260131_SCLU_570,#5254a3,676_Sncg Gaba_3_1,676_Sncg Gaba_3
676_Sncg Gaba_3_2,subcluster,571,CS20260131_SCLU_571,#6b6ecf,676_Sncg Gaba_3_2,676_Sncg Gaba_3
676_Sncg Gaba_3_3,subcluster,572,CS20260131_SCLU_572,#9c9ede,676_Sncg Gaba_3_3,676_Sncg Gaba_3
676_Sncg Gaba_3_4,subcluster,573,CS20260131_SCLU_573,#637939,676_Sncg Gaba_3_4,676_Sncg Gaba_3
682_Sncg Gaba_6_1,subcluster,574,CS20260131_SCLU_574,#8ca252,682_Sncg Gaba_6_1,682_Sncg Gaba_6
706_Lamp5 Gaba_1_1,subcluster,575,CS20260131_SCLU_575,#b5cf6b,706_Lamp5 Gaba_1_1,706_Lamp5 Gaba_1
708_Lamp5 Gaba_1_1,subcluster,576,CS20260131_SCLU_576,#cedb9c,708_Lamp5 Gaba_1_1,708_Lamp5 Gaba_1
708_Lamp5 Gaba_1_2,subcluster,577,CS20260131_SCLU_577,#8c6d31,708_Lamp5 Gaba_1_2,708_Lamp5 Gaba_1
709_Lamp5 Gaba_1_1,subcluster,578,CS20260131_SCLU_578,#bd9e39,709_Lamp5 Gaba_1_1,709_Lamp5 Gaba_1
709_Lamp5 Gaba_1_2,subcluster,579,CS20260131_SCLU_579,#e7ba52,709_Lamp5 Gaba_1_2,709_Lamp5 Gaba_1
709_Lamp5 Gaba_1_3,subcluster,580,CS20260131_SCLU_580,#e7cb94,709_Lamp5 Gaba_1_3,709_Lamp5 Gaba_1
709_Lamp5 Gaba_1_4,subcluster,581,CS20260131_SCLU_581,#843c39,709_Lamp5 Gaba_1_4,709_Lamp5 Gaba_1
709_Lamp5 Gaba_1_5,subcluster,582,CS20260131_SCLU_582,#ad494a,709_Lamp5 Gaba_1_5,709_Lamp5 Gaba_1
716_Lamp5 Gaba_2_1,subcluster,583,CS20260131_SCLU_583,#d6616b,716_Lamp5 Gaba_2_1,716_Lamp5 Gaba_2
717_Lamp5 Gaba_2_1,subcluster,584,CS20260131_SCLU_584,#e7969c,717_Lamp5 Gaba_2_1,717_Lamp5 Gaba_2
718_Lamp5 Gaba_2_1,subcluster,585,CS20260131_SCLU_585,#7b4173,718_Lamp5 Gaba_2_1,718_Lamp5 Gaba_2
719_Lamp5 Gaba_3_1,subcluster,586,CS20260131_SCLU_586,#a55194,719_Lamp5 Gaba_3_1,719_Lamp5 Gaba_3
719_Lamp5 Gaba_3_2,subcluster,587,CS20260131_SCLU_587,#ce6dbd,719_Lamp5 Gaba_3_2,719_Lamp5 Gaba_3
720_Lamp5 Gaba_3_1,subcluster,588,CS20260131_SCLU_588,#de9ed6,720_Lamp5 Gaba_3_1,720_Lamp5 Gaba_3
722_Lamp5 Gaba_4_1,subcluster,589,CS20260131_SCLU_589,#3182bd,722_Lamp5 Gaba_4_1,722_Lamp5 Gaba_4
MGE GABA RG_1,subcluster,590,CS20260131_SCLU_590,#bd9e39,MGE GABA RG_1,MGE GABA RG
MGE GABA RG_2,subcluster,591,CS20260131_SCLU_591,#e7ba52,MGE GABA RG_2,MGE GABA RG
MGE GABA RG_3,subcluster,592,CS20260131_SCLU_592,#e7cb94,MGE GABA RG_3,MGE GABA RG
MGE GABA RG_4,subcluster,593,CS20260131_SCLU_593,#843c39,MGE GABA RG_4,MGE GABA RG
MGE GABA RG_5,subcluster,594,CS20260131_SCLU_594,#ad494a,MGE GABA RG_5,MGE GABA RG
MGE GABA RG_6,subcluster,595,CS20260131_SCLU_595,#d6616b,MGE GABA RG_6,MGE GABA RG
MGE GABA_1,subcluster,596,CS20260131_SCLU_596,#e7969c,MGE GABA_1,MGE GABA
MGE GABA_2,subcluster,597,CS20260131_SCLU_597,#7b4173,MGE GABA_2,MGE GABA
MGE GABA_3,subcluster,598,CS20260131_SCLU_598,#a55194,MGE GABA_3,MGE GABA
MGE GABA_4,subcluster,599,CS20260131_SCLU_599,#ce6dbd,MGE GABA_4,MGE GABA
MGE GABA_5,subcluster,600,CS20260131_SCLU_600,#de9ed6,MGE GABA_5,MGE GABA
724_Lamp5 Lhx6 Gaba_1_1,subcluster,601,CS20260131_SCLU_601,#6baed6,724_Lamp5 Lhx6 Gaba_1_1,724_Lamp5 Lhx6 Gaba_1
724_Lamp5 Lhx6 Gaba_1_2,subcluster,602,CS20260131_SCLU_602,#9ecae1,724_Lamp5 Lhx6 Gaba_1_2,724_Lamp5 Lhx6 Gaba_1
733_Pvalb chandelier Gaba_1_1,subcluster,603,CS20260131_SCLU_603,#c6dbef,733_Pvalb chandelier Gaba_1_1,733_Pvalb chandelier Gaba_1
733_Pvalb chandelier Gaba_1_2,subcluster,604,CS20260131_SCLU_604,#e6550d,733_Pvalb chandelier Gaba_1_2,733_Pvalb chandelier Gaba_1
733_Pvalb chandelier Gaba_1_3,subcluster,605,CS20260131_SCLU_605,#fd8d3c,733_Pvalb chandelier Gaba_1_3,733_Pvalb chandelier Gaba_1
733_Pvalb chandelier Gaba_1_4,subcluster,606,CS20260131_SCLU_606,#fdae6b,733_Pvalb chandelier Gaba_1_4,733_Pvalb chandelier Gaba_1
735_Pvalb Gaba_1_1,subcluster,607,CS20260131_SCLU_607,#fdd0a2,735_Pvalb Gaba_1_1,735_Pvalb Gaba_1
735_Pvalb Gaba_1_2,subcluster,608,CS20260131_SCLU_608,#31a354,735_Pvalb Gaba_1_2,735_Pvalb Gaba_1
736_Pvalb Gaba_1_1,subcluster,609,CS20260131_SCLU_609,#74c476,736_Pvalb Gaba_1_1,736_Pvalb Gaba_1
741_Pvalb Gaba_3_1,subcluster,610,CS20260131_SCLU_610,#a1d99b,741_Pvalb Gaba_3_1,741_Pvalb Gaba_3
741_Pvalb Gaba_3_2,subcluster,611,CS20260131_SCLU_611,#c7e9c0,741_Pvalb Gaba_3_2,741_Pvalb Gaba_3
741_Pvalb Gaba_3_3,subcluster,612,CS20260131_SCLU_612,#756bb1,741_Pvalb Gaba_3_3,741_Pvalb Gaba_3
741_Pvalb Gaba_3_4,subcluster,613,CS20260131_SCLU_613,#9e9ac8,741_Pvalb Gaba_3_4,741_Pvalb Gaba_3
741_Pvalb Gaba_3_5,subcluster,614,CS20260131_SCLU_614,#bcbddc,741_Pvalb Gaba_3_5,741_Pvalb Gaba_3
741_Pvalb Gaba_3_6,subcluster,615,CS20260131_SCLU_615,#dadaeb,741_Pvalb Gaba_3_6,741_Pvalb Gaba_3
741_Pvalb Gaba_3_7,subcluster,616,CS20260131_SCLU_616,#636363,741_Pvalb Gaba_3_7,741_Pvalb Gaba_3
741_Pvalb Gaba_3_8,subcluster,617,CS20260131_SCLU_617,#969696,741_Pvalb Gaba_3_8,741_Pvalb Gaba_3
742_Pvalb Gaba_3_1,subcluster,618,CS20260131_SCLU_618,#bdbdbd,742_Pvalb Gaba_3_1,742_Pvalb Gaba_3
742_Pvalb Gaba_3_2,subcluster,619,CS20260131_SCLU_619,#d9d9d9,742_Pvalb Gaba_3_2,742_Pvalb Gaba_3
742_Pvalb Gaba_3_3,subcluster,620,CS20260131_SCLU_620,#393b79,742_Pvalb Gaba_3_3,742_Pvalb Gaba_3
742_Pvalb Gaba_3_4,subcluster,621,CS20260131_SCLU_621,#5254a3,742_Pvalb Gaba_3_4,742_Pvalb Gaba_3
742_Pvalb Gaba_3_5,subcluster,622,CS20260131_SCLU_622,#6b6ecf,742_Pvalb Gaba_3_5,742_Pvalb Gaba_3
742_Pvalb Gaba_3_6,subcluster,623,CS20260131_SCLU_623,#9c9ede,742_Pvalb Gaba_3_6,742_Pvalb Gaba_3
742_Pvalb Gaba_3_7,subcluster,624,CS20260131_SCLU_624,#637939,742_Pvalb Gaba_3_7,742_Pvalb Gaba_3
742_Pvalb Gaba_3_8,subcluster,625,CS20260131_SCLU_625,#8ca252,742_Pvalb Gaba_3_8,742_Pvalb Gaba_3
743_Pvalb Gaba_4_1,subcluster,626,CS20260131_SCLU_626,#b5cf6b,743_Pvalb Gaba_4_1,743_Pvalb Gaba_4
743_Pvalb Gaba_4_2,subcluster,627,CS20260131_SCLU_627,#cedb9c,743_Pvalb Gaba_4_2,743_Pvalb Gaba_4
743_Pvalb Gaba_4_3,subcluster,628,CS20260131_SCLU_628,#8c6d31,743_Pvalb Gaba_4_3,743_Pvalb Gaba_4
743_Pvalb Gaba_4_4,subcluster,629,CS20260131_SCLU_629,#bd9e39,743_Pvalb Gaba_4_4,743_Pvalb Gaba_4
743_Pvalb Gaba_4_5,subcluster,630,CS20260131_SCLU_630,#e7ba52,743_Pvalb Gaba_4_5,743_Pvalb Gaba_4
743_Pvalb Gaba_4_6,subcluster,631,CS20260131_SCLU_631,#e7cb94,743_Pvalb Gaba_4_6,743_Pvalb Gaba_4
743_Pvalb Gaba_4_7,subcluster,632,CS20260131_SCLU_632,#843c39,743_Pvalb Gaba_4_7,743_Pvalb Gaba_4
744_Pvalb Gaba_4_1,subcluster,633,CS20260131_SCLU_633,#ad494a,744_Pvalb Gaba_4_1,744_Pvalb Gaba_4
747_Pvalb Gaba_4_1,subcluster,634,CS20260131_SCLU_634,#d6616b,747_Pvalb Gaba_4_1,747_Pvalb Gaba_4
752_Pvalb Gaba_6_1,subcluster,635,CS20260131_SCLU_635,#e7969c,752_Pvalb Gaba_6_1,752_Pvalb Gaba_6
754_Pvalb Gaba_8_1,subcluster,636,CS20260131_SCLU_636,#7b4173,754_Pvalb Gaba_8_1,754_Pvalb Gaba_8
754_Pvalb Gaba_8_2,subcluster,637,CS20260131_SCLU_637,#a55194,754_Pvalb Gaba_8_2,754_Pvalb Gaba_8
754_Pvalb Gaba_8_3,subcluster,638,CS20260131_SCLU_638,#ce6dbd,754_Pvalb Gaba_8_3,754_Pvalb Gaba_8
754_Pvalb Gaba_8_4,subcluster,639,CS20260131_SCLU_639,#de9ed6,754_Pvalb Gaba_8_4,754_Pvalb Gaba_8
754_Pvalb Gaba_8_5,subcluster,640,CS20260131_SCLU_640,#3182bd,754_Pvalb Gaba_8_5,754_Pvalb Gaba_8
757_Sst Gaba_1_1,subcluster,641,CS20260131_SCLU_641,#6baed6,757_Sst Gaba_1_1,757_Sst Gaba_1
758_Sst Gaba_1_1,subcluster,642,CS20260131_SCLU_642,#9ecae1,758_Sst Gaba_1_1,758_Sst Gaba_1
758_Sst Gaba_1_2,subcluster,643,CS20260131_SCLU_643,#c6dbef,758_Sst Gaba_1_2,758_Sst Gaba_1
758_Sst Gaba_1_3,subcluster,644,CS20260131_SCLU_644,#e6550d,758_Sst Gaba_1_3,758_Sst Gaba_1
758_Sst Gaba_1_4,subcluster,645,CS20260131_SCLU_645,#fd8d3c,758_Sst Gaba_1_4,758_Sst Gaba_1
761_Sst Gaba_1_1,subcluster,646,CS20260131_SCLU_646,#fdae6b,761_Sst Gaba_1_1,761_Sst Gaba_1
777_Sst Gaba_4_1,subcluster,647,CS20260131_SCLU_647,#fdd0a2,777_Sst Gaba_4_1,777_Sst Gaba_4
779_Sst Gaba_4_1,subcluster,648,CS20260131_SCLU_648,#31a354,779_Sst Gaba_4_1,779_Sst Gaba_4
779_Sst Gaba_4_2,subcluster,649,CS20260131_SCLU_649,#74c476,779_Sst Gaba_4_2,779_Sst Gaba_4
779_Sst Gaba_4_3,subcluster,650,CS20260131_SCLU_650,#a1d99b,779_Sst Gaba_4_3,779_Sst Gaba_4
780_Sst Gaba_4_1,subcluster,651,CS20260131_SCLU_651,#c7e9c0,780_Sst Gaba_4_1,780_Sst Gaba_4
780_Sst Gaba_4_2,subcluster,652,CS20260131_SCLU_652,#756bb1,780_Sst Gaba_4_2,780_Sst Gaba_4
780_Sst Gaba_4_3,subcluster,653,CS20260131_SCLU_653,#9e9ac8,780_Sst Gaba_4_3,780_Sst Gaba_4
792_Sst Gaba_7_1,subcluster,654,CS20260131_SCLU_654,#bcbddc,792_Sst Gaba_7_1,792_Sst Gaba_7
792_Sst Gaba_7_2,subcluster,655,CS20260131_SCLU_655,#dadaeb,792_Sst Gaba_7_2,792_Sst Gaba_7
792_Sst Gaba_7_3,subcluster,656,CS20260131_SCLU_656,#636363,792_Sst Gaba_7_3,792_Sst Gaba_7
792_Sst Gaba_7_4,subcluster,657,CS20260131_SCLU_657,#969696,792_Sst Gaba_7_4,792_Sst Gaba_7
792_Sst Gaba_7_5,subcluster,658,CS20260131_SCLU_658,#bdbdbd,792_Sst Gaba_7_5,792_Sst Gaba_7
792_Sst Gaba_7_6,subcluster,659,CS20260131_SCLU_659,#d9d9d9,792_Sst Gaba_7_6,792_Sst Gaba_7
792_Sst Gaba_7_7,subcluster,660,CS20260131_SCLU_660,#393b79,792_Sst Gaba_7_7,792_Sst Gaba_7
793_Sst Gaba_7_1,subcluster,661,CS20260131_SCLU_661,#5254a3,793_Sst Gaba_7_1,793_Sst Gaba_7
795_Sst Gaba_8_1,subcluster,662,CS20260131_SCLU_662,#6b6ecf,795_Sst Gaba_8_1,795_Sst Gaba_8
797_Sst Gaba_8_1,subcluster,663,CS20260131_SCLU_663,#9c9ede,797_Sst Gaba_8_1,797_Sst Gaba_8
799_Sst Gaba_9_1,subcluster,664,CS20260131_SCLU_664,#637939,799_Sst Gaba_9_1,799_Sst Gaba_9
800_Sst Gaba_9_1,subcluster,665,CS20260131_SCLU_665,#8ca252,800_Sst Gaba_9_1,800_Sst Gaba_9
801_Sst Gaba_9_1,subcluster,666,CS20260131_SCLU_666,#b5cf6b,801_Sst Gaba_9_1,801_Sst Gaba_9
803_Sst Gaba_10_1,subcluster,667,CS20260131_SCLU_667,#cedb9c,803_Sst Gaba_10_1,803_Sst Gaba_10
803_Sst Gaba_10_2,subcluster,668,CS20260131_SCLU_668,#8c6d31,803_Sst Gaba_10_2,803_Sst Gaba_10
803_Sst Gaba_10_3,subcluster,669,CS20260131_SCLU_669,#bd9e39,803_Sst Gaba_10_3,803_Sst Gaba_10
803_Sst Gaba_10_4,subcluster,670,CS20260131_SCLU_670,#e7ba52,803_Sst Gaba_10_4,803_Sst Gaba_10
803_Sst Gaba_10_5,subcluster,671,CS20260131_SCLU_671,#e7cb94,803_Sst Gaba_10_5,803_Sst Gaba_10
803_Sst Gaba_10_6,subcluster,672,CS20260131_SCLU_672,#843c39,803_Sst Gaba_10_6,803_Sst Gaba_10
806_Sst Gaba_11_1,subcluster,673,CS20260131_SCLU_673,#ad494a,806_Sst Gaba_11_1,806_Sst Gaba_11
811_Sst Gaba_13_1,subcluster,674,CS20260131_SCLU_674,#d6616b,811_Sst Gaba_13_1,811_Sst Gaba_13
811_Sst Gaba_13_2,subcluster,675,CS20260131_SCLU_675,#e7969c,811_Sst Gaba_13_2,811_Sst Gaba_13
814_Sst Gaba_14_1,subcluster,676,CS20260131_SCLU_676,#7b4173,814_Sst Gaba_14_1,814_Sst Gaba_14
818_Sst Gaba_16_1,subcluster,677,CS20260131_SCLU_677,#a55194,818_Sst Gaba_16_1,818_Sst Gaba_16
819_Sst Gaba_16_1,subcluster,678,CS20260131_SCLU_678,#ce6dbd,819_Sst Gaba_16_1,819_Sst Gaba_16
820_Sst Gaba_16_1,subcluster,679,CS20260131_SCLU_679,#de9ed6,820_Sst Gaba_16_1,820_Sst Gaba_16
820_Sst Gaba_16_2,subcluster,680,CS20260131_SCLU_680,#3182bd,820_Sst Gaba_16_2,820_Sst Gaba_16
859_Sst Chodl Gaba_4_1,subcluster,681,CS20260131_SCLU_681,#6baed6,859_Sst Chodl Gaba_4_1,859_Sst Chodl Gaba_4
859_Sst Chodl Gaba_4_2,subcluster,682,CS20260131_SCLU_682,#9ecae1,859_Sst Chodl Gaba_4_2,859_Sst Chodl Gaba_4
859_Sst Chodl Gaba_4_3,subcluster,683,CS20260131_SCLU_683,#c6dbef,859_Sst Chodl Gaba_4_3,859_Sst Chodl Gaba_4
5293_ABC NN_1_1,subcluster,684,CS20260131_SCLU_684,#cedb9c,5293_ABC NN_1_1,5293_ABC NN_1
5297_VLMC NN_1_1,subcluster,685,CS20260131_SCLU_685,#8c6d31,5297_VLMC NN_1_1,5297_VLMC NN_1
5298_VLMC NN_1_1,subcluster,686,CS20260131_SCLU_686,#bd9e39,5298_VLMC NN_1_1,5298_VLMC NN_1
5298_VLMC NN_1_2,subcluster,687,CS20260131_SCLU_687,#e7ba52,5298_VLMC NN_1_2,5298_VLMC NN_1
5298_VLMC NN_1_3,subcluster,688,CS20260131_SCLU_688,#e7cb94,5298_VLMC NN_1_3,5298_VLMC NN_1
5298_VLMC NN_1_4,subcluster,689,CS20260131_SCLU_689,#843c39,5298_VLMC NN_1_4,5298_VLMC NN_1
5301_VLMC NN_2_1,subcluster,690,CS20260131_SCLU_690,#ad494a,5301_VLMC NN_2_1,5301_VLMC NN_2
5301_VLMC NN_2_2,subcluster,691,CS20260131_SCLU_691,#d6616b,5301_VLMC NN_2_2,5301_VLMC NN_2
5301_VLMC NN_2_3,subcluster,692,CS20260131_SCLU_692,#e7969c,5301_VLMC NN_2_3,5301_VLMC NN_2
5302_VLMC NN_3_1,subcluster,693,CS20260131_SCLU_693,#7b4173,5302_VLMC NN_3_1,5302_VLMC NN_3
5302_VLMC NN_3_2,subcluster,694,CS20260131_SCLU_694,#a55194,5302_VLMC NN_3_2,5302_VLMC NN_3
5304_Peri NN_1_1,subcluster,695,CS20260131_SCLU_695,#ce6dbd,5304_Peri NN_1_1,5304_Peri NN_1
5304_Peri NN_1_2,subcluster,696,CS20260131_SCLU_696,#de9ed6,5304_Peri NN_1_2,5304_Peri NN_1
5304_Peri NN_1_3,subcluster,697,CS20260131_SCLU_697,#3182bd,5304_Peri NN_1_3,5304_Peri NN_1
5305_Peri NN_1_1,subcluster,698,CS20260131_SCLU_698,#6baed6,5305_Peri NN_1_1,5305_Peri NN_1
5306_SMC NN_1_1,subcluster,699,CS20260131_SCLU_699,#9ecae1,5306_SMC NN_1_1,5306_SMC NN_1
5307_SMC NN_1_1,subcluster,700,CS20260131_SCLU_700,#c6dbef,5307_SMC NN_1_1,5307_SMC NN_1
5309_Endo NN_1_1,subcluster,701,CS20260131_SCLU_701,#e6550d,5309_Endo NN_1_1,5309_Endo NN_1
5309_Endo NN_1_2,subcluster,702,CS20260131_SCLU_702,#fd8d3c,5309_Endo NN_1_2,5309_Endo NN_1
5310_Endo NN_1_1,subcluster,703,CS20260131_SCLU_703,#fdae6b,5310_Endo NN_1_1,5310_Endo NN_1
5311_Endo NN_1_1,subcluster,704,CS20260131_SCLU_704,#fdd0a2,5311_Endo NN_1_1,5311_Endo NN_1
5311_Endo NN_1_2,subcluster,705,CS20260131_SCLU_705,#31a354,5311_Endo NN_1_2,5311_Endo NN_1
5311_Endo NN_1_3,subcluster,706,CS20260131_SCLU_706,#74c476,5311_Endo NN_1_3,5311_Endo NN_1
5311_Endo NN_1_4,subcluster,707,CS20260131_SCLU_707,#a1d99b,5311_Endo NN_1_4,5311_Endo NN_1
5311_Endo NN_1_5,subcluster,708,CS20260131_SCLU_708,#c7e9c0,5311_Endo NN_1_5,5311_Endo NN_1
5311_Endo NN_1_6,subcluster,709,CS20260131_SCLU_709,#756bb1,5311_Endo NN_1_6,5311_Endo NN_1
5312_Microglia NN_1_1,subcluster,710,CS20260131_SCLU_710,#9e9ac8,5312_Microglia NN_1_1,5312_Microglia NN_1
5312_Microglia NN_1_2,subcluster,711,CS20260131_SCLU_711,#bcbddc,5312_Microglia NN_1_2,5312_Microglia NN_1
5312_Microglia NN_1_3,subcluster,712,CS20260131_SCLU_712,#dadaeb,5312_Microglia NN_1_3,5312_Microglia NN_1
5313_BAM NN_1_1,subcluster,713,CS20260131_SCLU_713,#636363,5313_BAM NN_1_1,5313_BAM NN_1
5314_BAM NN_1_1,subcluster,714,CS20260131_SCLU_714,#969696,5314_BAM NN_1_1,5314_BAM NN_1
E11.5,age_text,1,"",#FF9999,donor,""
E12.5,age_text,2,"",#F28C79,donor,""
E13.5,age_text,3,"",#E6865C,donor,""
