Tasic2018_Ttype,Gouwens2020_METtype,Subclass
Pvalb Calb1 Sst,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Akr1c18 Ntf3,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Th Sst,Pvalb-MET-2,Pvalb
Pvalb Akr1c18 Ntf3,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Calb1 Sst,Pvalb-MET-2,Pvalb
Pvalb Akr1c18 Ntf3,Pvalb-MET-2,Pvalb
Pvalb Akr1c18 Ntf3,Pvalb-MET-2,Pvalb
Pvalb Akr1c18 Ntf3,Pvalb-MET-2,Pvalb
Pvalb Akr1c18 Ntf3,Pvalb-MET-2,Pvalb
Pvalb Akr1c18 Ntf3,Pvalb-MET-2,Pvalb
Pvalb Akr1c18 Ntf3,Pvalb-MET-2,Pvalb
Pvalb Gpr149 Islr,Pvalb-MET-3,Pvalb
Pvalb Reln Tac1,Pvalb-MET-3,Pvalb
Pvalb Reln Tac1,Pvalb-MET-3,Pvalb
Pvalb Gpr149 Islr,Pvalb-MET-3,Pvalb
Pvalb Gpr149 Islr,Pvalb-MET-3,Pvalb
Pvalb Reln Tac1,Pvalb-MET-3,Pvalb
Pvalb Reln Tac1,Pvalb-MET-3,Pvalb
Pvalb Reln Tac1,Pvalb-MET-3,Pvalb
Pvalb Gpr149 Islr,Pvalb-MET-3,Pvalb
Pvalb Reln Tac1,Pvalb-MET-3,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Lamp5 Lsp1,Pvalb-MET-4,Lamp5
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Tpbg,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Reln Itm2a,Pvalb-MET-4,Pvalb
Pvalb Vipr2,Pvalb-MET-5,Pvalb
Pvalb Vipr2,Pvalb-MET-5,Pvalb
Pvalb Vipr2,Pvalb-MET-5,Pvalb
Pvalb Vipr2,Pvalb-MET-5,Pvalb
Sncg Vip Nptx2,Sncg-MET-1,Sncg
Sncg Vip Nptx2,Sncg-MET-1,Sncg
Sncg Vip Nptx2,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Vip Col15a1 Pde1a,Sncg-MET-1,Vip
Vip Col15a1 Pde1a,Sncg-MET-1,Vip
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Vip Nptx2,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Vip Itih5,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-1,Sncg
Sncg Gpr50,Sncg-MET-2,Sncg
Sncg Vip Nptx2,Sncg-MET-2,Sncg
Sncg Vip Nptx2,Sncg-MET-2,Sncg
Sncg Slc17a8,Sncg-MET-3,Sncg
Sncg Slc17a8,Sncg-MET-3,Sncg
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Chodl,Sst-MET-1,Sst Chodl
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Rxfp1 Prdm8,Sst-MET-10,Sst
Sst Mme Fam114a1,Sst-MET-11,Sst
Sst Crhr2 Efemp1,Sst-MET-11,Sst
Sst Mme Fam114a1,Sst-MET-11,Sst
Sst Hpse Cbln4,Sst-MET-12,Sst
Sst Esm1,Sst-MET-12,Sst
Sst Tac2 Myh4,Sst-MET-12,Sst
Sst Mme Fam114a1,Sst-MET-12,Sst
Sst Crh 4930553C11Rik,Sst-MET-12,Sst
Sst Mme Fam114a1,Sst-MET-12,Sst
Sst Esm1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Hpse Cbln4,Sst-MET-12,Sst
Sst Rxfp1 Eya1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Hpse Cbln4,Sst-MET-12,Sst
Sst Crh 4930553C11Rik,Sst-MET-12,Sst
Sst Mme Fam114a1,Sst-MET-12,Sst
Sst Rxfp1 Eya1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Hpse Cbln4,Sst-MET-12,Sst
Sst Crh 4930553C11Rik,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Mme Fam114a1,Sst-MET-12,Sst
Sst Crh 4930553C11Rik,Sst-MET-12,Sst
Sst Esm1,Sst-MET-12,Sst
Sst Crh 4930553C11Rik,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Rxfp1 Eya1,Sst-MET-12,Sst
Sst Esm1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Mme Fam114a1,Sst-MET-12,Sst
Sst Crh 4930553C11Rik,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Crh 4930553C11Rik,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Hpse Cbln4,Sst-MET-12,Sst
Sst Crh 4930553C11Rik,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Rxfp1 Eya1,Sst-MET-12,Sst
Sst Hpse Cbln4,Sst-MET-12,Sst
Sst Mme Fam114a1,Sst-MET-12,Sst
Sst Mme Fam114a1,Sst-MET-12,Sst
Sst Mme Fam114a1,Sst-MET-12,Sst
Sst Rxfp1 Eya1,Sst-MET-12,Sst
Sst Mme Fam114a1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Hpse Cbln4,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Crhr2 Efemp1,Sst-MET-12,Sst
Sst Rxfp1 Eya1,Sst-MET-12,Sst
Sst Rxfp1 Eya1,Sst-MET-12,Sst
Sst Rxfp1 Eya1,Sst-MET-12,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Nts,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Esm1,Sst-MET-13,Sst
Sst Tac1 Tacr3,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Tacr3,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Tacr3,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Tacr3,Sst-MET-2,Sst
Sst Calb2 Necab1,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Tac1 Htr1d,Sst-MET-2,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Necab1,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Hpse Cbln4,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Necab1,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Necab1,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Tac1 Htr1d,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Tac1 Htr1d,Sst-MET-3,Sst
Sst Calb2 Necab1,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Calb2 Necab1,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-3,Sst
Sst Hpse Cbln4,Sst-MET-3,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Calb2 Necab1,Sst-MET-4,Sst
Sst Calb2 Necab1,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Nr2f2 Necab1,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Calb2 Necab1,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Calb2 Pdlim5,Sst-MET-4,Sst
Sst Myh8 Etv1,Sst-MET-5,Sst
Sst Nr2f2 Necab1,Sst-MET-5,Sst
Sst Myh8 Etv1,Sst-MET-5,Sst
Sst Nr2f2 Necab1,Sst-MET-5,Sst
Sst Nr2f2 Necab1,Sst-MET-5,Sst
Sst Myh8 Etv1,Sst-MET-5,Sst
Sst Myh8 Etv1,Sst-MET-5,Sst
Sst Myh8 Etv1,Sst-MET-5,Sst
Sst Nr2f2 Necab1,Sst-MET-5,Sst
Sst Nr2f2 Necab1,Sst-MET-5,Sst
Sst Nr2f2 Necab1,Sst-MET-5,Sst
Sst Nr2f2 Necab1,Sst-MET-5,Sst
Sst Myh8 Etv1,Sst-MET-6,Sst
Sst Myh8 Etv1,Sst-MET-6,Sst
Sst Chrna2 Ptgdr,Sst-MET-6,Sst
Sst Myh8 Etv1,Sst-MET-6,Sst
Sst Chrna2 Glra3,Sst-MET-6,Sst
Sst Chrna2 Glra3,Sst-MET-6,Sst
Sst Myh8 Etv1,Sst-MET-6,Sst
Sst Myh8 Etv1,Sst-MET-6,Sst
Sst Myh8 Etv1,Sst-MET-6,Sst
Sst Chrna2 Glra3,Sst-MET-6,Sst
Sst Chrna2 Glra3,Sst-MET-6,Sst
Sst Myh8 Etv1,Sst-MET-6,Sst
Sst Myh8 Etv1,Sst-MET-6,Sst
Sst Chrna2 Glra3,Sst-MET-6,Sst
Sst Chrna2 Ptgdr,Sst-MET-6,Sst
Sst Chrna2 Glra3,Sst-MET-6,Sst
Sst Chrna2 Ptgdr,Sst-MET-6,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Sema3c,Sst-MET-7,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Hpse Cbln4,Sst-MET-8,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Myh4,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Esm1,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Sst Tac2 Tacstd2,Sst-MET-9,Sst
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Igfbp4 Mab21l1,Vip-MET-1,Vip
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Rspo1 Itga4,Vip-MET-1,Vip
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Chat Htr1f,Vip-MET-1,Vip
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Chat Htr1f,Vip-MET-1,Vip
Vip Chat Htr1f,Vip-MET-1,Vip
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Chat Htr1f,Vip-MET-1,Vip
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Chat Htr1f,Vip-MET-1,Vip
Vip Chat Htr1f,Vip-MET-1,Vip
Serpinf1 Aqp5 Vip,Vip-MET-1,Sncg
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Pygm C1ql1,Vip-MET-1,Vip
Vip Chat Htr1f,Vip-MET-1,Vip
Vip Gpc3 Slc18a3,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Rspo4 Rxfp1 Chat,Vip-MET-2,Vip
Vip Rspo4 Rxfp1 Chat,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Rspo4 Rxfp1 Chat,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Ptprt Pkp2,Vip-MET-2,Vip
Vip Lmo1 Fam159b,Vip-MET-3,Vip
Vip Lmo1 Fam159b,Vip-MET-3,Vip
Vip Lmo1 Fam159b,Vip-MET-3,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lect1 Oxtr,Vip-MET-4,Vip
Vip Crispld2 Kcne4,Vip-MET-4,Vip
Vip Lect1 Oxtr,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lect1 Oxtr,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Crispld2 Kcne4,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Lmo1 Myl1,Vip-MET-4,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Lect1 Oxtr,Vip-MET-5,Vip
Vip Rspo1 Itga4,Vip-MET-5,Vip
Vip Crispld2 Htr2c,Vip-MET-5,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Crispld2 Htr2c,Vip-MET-5,Vip
Vip Crispld2 Htr2c,Vip-MET-5,Vip
Vip Crispld2 Htr2c,Vip-MET-5,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Lect1 Oxtr,Vip-MET-5,Vip
Vip Crispld2 Htr2c,Vip-MET-5,Vip
Vip Lect1 Oxtr,Vip-MET-5,Vip
Vip Crispld2 Kcne4,Vip-MET-5,Vip
Vip Crispld2 Htr2c,Vip-MET-5,Vip
Vip Crispld2 Htr2c,Vip-MET-5,Vip
