Tasic2018_Ttype,Gouwens2020_METtype,Subclass
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Ntn1 Npy2r,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Ntn1 Npy2r,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Fam19a1 Pax6,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Ntn1 Npy2r,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Ntn1 Npy2r,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Ntn1 Npy2r,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Ntn1 Npy2r,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Lsp1,Lamp5-MET-1,Lamp5
Lamp5 Ntn1 Npy2r,Lamp5-MET-1,Lamp5
Lamp5 Ntn1 Npy2r,Lamp5-MET-1,Lamp5
Lamp5 Plch2 Dock5,Lamp5-MET-1,Lamp5
Lamp5 Lhx6,Lamp5-MET-2,Lamp5
Lamp5 Lhx6,Lamp5-MET-2,Lamp5
Pvalb Gabrg1,Pvalb-MET-1,Pvalb
Pvalb Gabrg1,Pvalb-MET-1,Pvalb
Pvalb Gabrg1,Pvalb-MET-1,Pvalb
Pvalb Gabrg1,Pvalb-MET-1,Pvalb
Pvalb Gabrg1,Pvalb-MET-1,Pvalb
Pvalb Gabrg1,Pvalb-MET-1,Pvalb
Pvalb Gabrg1,Pvalb-MET-1,Pvalb
Pvalb Th Sst,Pvalb-MET-2,Pvalb
Pvalb Akr1c18 Ntf3,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Sema3e Kank4,Pvalb-MET-2,Pvalb
Pvalb Th Sst,Pvalb-MET-2,Pvalb
Pvalb Calb1 Sst,Pvalb-MET-2,Pvalb
Pvalb Calb1 Sst,Pvalb-MET-2,Pvalb
Pvalb Th Sst,Pvalb-MET-2,Pvalb
Pvalb Th Sst,Pvalb-MET-2,Pvalb
