cluster_label,supertype_label,subclass_label,neighborhood_label,class_label,cluster_size,F,M,ACA,AI,AUD,CLA,ENT,HIP,MOp,MOs.FRP,PL.ILA.ORB,PTLp,RHP,RSP,SSp,SSs.GU.VISC.AIp,TEa.PERI.ECT,VIS,cell_type_accession_label
1_CR,CR Trp73,CR,Other,Glutamatergic,315,0.231746,0.768254,0.022222,0.025397,0.006349,0,0.168254,0.111111,0.038095,0.044444,0.098413,0.003175,0.136508,0.028571,0.003175,0.003175,0.149206,0.161905,CCN19103010000001
2_Meis2,Meis2,Meis2,Other,GABAergic,25,0.24,0.76,0.04,0.12,0,0,0,0,0.04,0.04,0.72,0.04,0,0,0,0,0,0,CCN19103010000002
3_Meis2,Meis2,Meis2,Other,GABAergic,127,0.181102,0.818898,0.007874,0,0.007874,0,0,0,0.007874,0.03937,0.488189,0.007874,0,0,0.015748,0.007874,0.023622,0.393701,CCN19103010000003
4_Meis2 HPF,Meis2 HPF,Sncg,CGE,GABAergic,183,0.431694,0.568306,0,0,0,0,0.10929,0.213115,0.005464,0,0.005464,0,0.666667,0,0,0,0,0,CCN19103010000004
5_Lamp5 Lhx6,Lamp5 Lhx6,Lamp5,CGE,GABAergic,466,0.517167,0.482833,0.008584,0.01073,0,0,0.124464,0.761803,0.002146,0,0.006438,0,0.064378,0,0,0.002146,0.019313,0,CCN19103010000005
6_Lamp5 Lhx6,Lamp5 Lhx6,Lamp5,CGE,GABAergic,1542,0.299611,0.700389,0.077173,0.061608,0.01751,0,0.063554,0.191958,0.13035,0.022049,0.059014,0.010376,0.045396,0.021401,0.02594,0.018158,0.053826,0.201686,CCN19103010000006
7_Lamp5 Lhx6,Lamp5 Lhx6,Lamp5,CGE,GABAergic,3204,0.435393,0.564607,0.024657,0.034332,0.002497,0,0.100811,0.651685,0.031835,0.006554,0.020599,0.001873,0.071161,0.006242,0.003745,0.00437,0.015605,0.024032,CCN19103010000007
8_Lamp5 Lhx6,Lamp5 Lhx6,Lamp5,CGE,GABAergic,444,0.504505,0.495495,0,0,0,0,0.047297,0.923423,0,0,0,0,0.024775,0,0,0,0.004505,0,CCN19103010000008
9_Lamp5 Lhx6,Lamp5 Lhx6,Lamp5,CGE,GABAergic,41,0.585366,0.414634,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CCN19103010000009
10_Lamp5,Lamp5 Pdlim5,Lamp5,CGE,GABAergic,1535,0.440391,0.559609,0.016938,0.058632,0.007166,0,0.375896,0.125081,0,0,0.091857,0,0.123779,0.020847,0,0.016938,0.152443,0.010423,CCN19103010000010
11_Lamp5,Lamp5 Pdlim5,Lamp5,CGE,GABAergic,7276,0.361875,0.638125,0.062397,0.043568,0.047004,0,0.020753,0.047279,0.13249,0.082188,0.029137,0.020341,0.029274,0.079714,0.055662,0.045767,0.027075,0.27735,CCN19103010000011
12_Lamp5,Lamp5 Pdlim5,Lamp5,CGE,GABAergic,22346,0.349011,0.650989,0.06019,0.064531,0.051732,0,0.037725,0.015797,0.164862,0.079522,0.054193,0.01969,0.017363,0.0341,0.031012,0.034145,0.075584,0.259554,CCN19103010000012
