cluster_label,supertype_label,subclass_label,neighborhood_label,class_label,cluster_size,F,M,ACA,AI,AUD,CLA,ENT,HIP,MOp,MOs.FRP,PL.ILA.ORB,PTLp,RHP,RSP,SSp,SSs.GU.VISC.AIp,TEa.PERI.ECT,VIS,cell_type_accession_label
13_Lamp5,Lamp5 Egln3,Lamp5,CGE,GABAergic,628,0.371019,0.628981,0.033439,0.121019,0.046178,0,0.017516,0,0.165605,0.068471,0.042994,0.02707,0.004777,0.025478,0.049363,0.057325,0.073248,0.267516,CCN19103010000013
14_Lamp5,Lamp5 Egln3,Lamp5,CGE,GABAergic,1228,0.384365,0.615635,0.069218,0.083876,0.060261,0,0.043974,0.013029,0.147394,0.078176,0.082248,0.021987,0.020358,0.032573,0.040717,0.050489,0.066775,0.188925,CCN19103010000014
15_Lamp5,Lamp5 Egln3,Lamp5,CGE,GABAergic,2143,0.371909,0.628091,0.070495,0.057423,0.052754,0,0.00747,0.012138,0.148459,0.087768,0.029412,0.031279,0.007937,0.044818,0.060691,0.042017,0.036415,0.310924,CCN19103010000015
16_Lamp5,Lamp5 Egln3,Lamp5,CGE,GABAergic,2403,0.357886,0.642114,0.059509,0.038285,0.048273,0,0.006242,0.040782,0.143571,0.084894,0.030795,0.02164,0.01831,0.069496,0.054515,0.047441,0.03454,0.301706,CCN19103010000016
17_Lamp5,Lamp5 Egln3,Lamp5,CGE,GABAergic,533,0.45591,0.54409,0.033771,0.071295,0.009381,0,0.108818,0.129456,0.018762,0.003752,0.159475,0,0.076923,0.018762,0,0.043152,0.290807,0.035647,CCN19103010000017
18_Lamp5,Lamp5 Egln3,Lamp5,CGE,GABAergic,1542,0.363813,0.636187,0.066796,0.055772,0.058366,0,0.027237,0.022698,0.122568,0.053178,0.046044,0.026589,0.016861,0.046693,0.035019,0.050584,0.076524,0.295071,CCN19103010000018
19_Pax6,Pax6,Lamp5,CGE,GABAergic,1455,0.375945,0.624055,0.024742,0.127148,0.105842,0,0.023368,0,0.153952,0.039863,0.031615,0.021993,0.000687,0.014433,0.027491,0.076289,0.130584,0.221993,CCN19103010000019
20_Pax6,Pax6,Lamp5,CGE,GABAergic,163,0.404908,0.595092,0.01227,0.361963,0.018405,0,0.09816,0.018405,0.202454,0.030675,0.06135,0,0.01227,0.006135,0.006135,0.04908,0.07362,0.04908,CCN19103010000020
21_Sncg,Sncg Serpinf1,Sncg,CGE,GABAergic,321,0.292835,0.707165,0.05919,0.084112,0.009346,0,0.018692,0.043614,0.308411,0.043614,0.084112,0.034268,0.015576,0.024922,0.031153,0.024922,0.046729,0.17134,CCN19103010000021
22_Sncg,Sncg Serpinf1,Sncg,CGE,GABAergic,170,0.288235,0.711765,0.141176,0.052941,0.011765,0,0.052941,0.047059,0.223529,0.011765,0.117647,0.011765,0.082353,0.005882,0.023529,0.011765,0.041176,0.164706,CCN19103010000022
23_Sncg,Sncg Serpinf1,Sncg,CGE,GABAergic,307,0.260586,0.739414,0.068404,0.071661,0.039088,0,0.003257,0.003257,0.433225,0.052117,0.094463,0.016287,0.003257,0.006515,0.045603,0.035831,0.032573,0.094463,CCN19103010000023
24_Sncg,Sncg Serpinf1,Sncg,CGE,GABAergic,698,0.275072,0.724928,0.051576,0.098854,0.051576,0,0.017192,0.001433,0.336676,0.083095,0.058739,0.011461,0.001433,0.02149,0.032951,0.027221,0.058739,0.147564,CCN19103010000024
25_Sncg,Sncg Krt73,Sncg,CGE,GABAergic,141,0.361702,0.638298,0.113475,0.007092,0,0,0.148936,0.148936,0.070922,0.007092,0.099291,0,0.35461,0,0,0,0.035461,0.014184,CCN19103010000025
26_Ntng1 HPF,Ntng1 HPF,Sncg,CGE,GABAergic,172,0.523256,0.476744,0,0,0,0,0.017442,0.848837,0,0,0,0,0.133721,0,0,0,0,0,CCN19103010000026
27_Ntng1 HPF,Ntng1 HPF,Sncg,CGE,GABAergic,173,0.50289,0.49711,0,0,0.00578,0,0.416185,0.404624,0,0.00578,0,0,0.138728,0.00578,0,0,0.011561,0.011561,CCN19103010000027
28_Ntng1 HPF,Ntng1 HPF,Sncg,CGE,GABAergic,184,0.391304,0.608696,0.01087,0.027174,0,0,0.26087,0.456522,0.005435,0,0.021739,0,0.130435,0.005435,0.005435,0.005435,0.065217,0.005435,CCN19103010000028
29_Ntng1 HPF,Ntng1 HPF,Sncg,CGE,GABAergic,586,0.539249,0.460751,0,0,0,0,0.032423,0.923208,0,0,0,0,0.042662,0.001706,0,0,0,0,CCN19103010000029
30_Ntng1 HPF,Ntng1 HPF,Sncg,CGE,GABAergic,45,0.555556,0.444444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CCN19103010000030
31_Sncg,Sncg Krt73,Sncg,CGE,GABAergic,587,0.29983,0.70017,0.044293,0.11414,0.027257,0,0.112436,0.0954,0.189097,0.0477,0.098807,0.013629,0.049404,0.02385,0.017036,0.025554,0.020443,0.120954,CCN19103010000031
32_Sncg,Sncg Krt73,Sncg,CGE,GABAergic,263,0.437262,0.562738,0.011407,0.057034,0,0,0.376426,0.228137,0,0,0.121673,0,0.087452,0,0,0.011407,0.106464,0,CCN19103010000032
33_Sncg,Sncg Krt73,Sncg,CGE,GABAergic,1539,0.337232,0.662768,0.037687,0.080572,0.025341,0,0.151397,0.092268,0.186485,0.048733,0.111111,0.007147,0.047433,0.020143,0.012346,0.019493,0.062378,0.097466,CCN19103010000033
34_Sncg,Sncg Krt73,Sncg,CGE,GABAergic,339,0.486726,0.513274,0.0059,0.00885,0.00295,0,0.224189,0.522124,0,0,0.00885,0,0.20649,0.00295,0,0,0.017699,0,CCN19103010000034
35_Sncg,Sncg Jam2 Npy2r,Sncg,CGE,GABAergic,641,0.321373,0.678627,0.082683,0.071763,0.040562,0,0.057722,0.017161,0.226209,0.035881,0.106084,0.018721,0.00624,0.020281,0.018721,0.01092,0.074883,0.212168,CCN19103010000035
36_Sncg,Sncg Jam2 Npy2r,Sncg,CGE,GABAergic,1662,0.338748,0.661252,0.051745,0.098676,0.052347,0,0.051143,0.007822,0.190132,0.058965,0.083634,0.013839,0.013237,0.036101,0.032491,0.038508,0.056558,0.214801,CCN19103010000036
37_Sncg,Sncg Jam2 Npy2r,Sncg,CGE,GABAergic,4989,0.359992,0.640008,0.066346,0.076568,0.050511,0,0.06374,0.023452,0.129886,0.052916,0.096613,0.017037,0.036681,0.046502,0.02265,0.034676,0.078172,0.204249,CCN19103010000037
38_Sncg,Sncg Jam2 Npy2r,Sncg,CGE,GABAergic,538,0.347584,0.652416,0.055762,0.083643,0.055762,0,0.076208,0.018587,0.200743,0.055762,0.098513,0.011152,0.048327,0.039033,0.009294,0.026022,0.052045,0.169145,CCN19103010000038
39_Sncg,Sncg Jam2 Npy2r,Sncg,CGE,GABAergic,755,0.503311,0.496689,0.019868,0.034437,0.007947,0,0.307285,0.376159,0.006623,0.001325,0.055629,0,0.117881,0.010596,0,0.007947,0.046358,0.007947,CCN19103010000039
40_Vip,Vip Serpinf1,Sncg,CGE,GABAergic,376,0.268617,0.731383,0.090426,0.077128,0.034574,0,0.015957,0.00266,0.268617,0.047872,0.053191,0.026596,0.007979,0.031915,0.013298,0.010638,0.055851,0.263298,CCN19103010000040
41_Vip,Vip Serpinf1,Sncg,CGE,GABAergic,763,0.336828,0.663172,0.073394,0.083879,0.036697,0,0.006553,0.006553,0.238532,0.137615,0.047182,0.014417,0,0.048493,0.027523,0.036697,0.035387,0.207077,CCN19103010000041
42_Vip,Vip Pcdh11x,Vip,CGE,GABAergic,1467,0.306748,0.693252,0.064758,0.033402,0.079755,0,0.00409,0,0.205862,0.078391,0.038173,0.027267,0.002727,0.034083,0.042263,0.047035,0.02454,0.317655,CCN19103010000042
43_Vip,Vip Pcdh11x,Vip,CGE,GABAergic,2970,0.332323,0.667677,0.06734,0.038384,0.051178,0,0.028956,0.002357,0.158586,0.076431,0.055892,0.027609,0.008754,0.045791,0.039731,0.035017,0.043434,0.320539,CCN19103010000043
44_Vip,Vip Mybpc1,Vip,CGE,GABAergic,6424,0.340286,0.659714,0.061488,0.057908,0.043275,0,0.017435,0.007939,0.158624,0.083126,0.051837,0.027553,0.009029,0.037516,0.04094,0.031445,0.044676,0.32721,CCN19103010000044
45_Vip,Vip Pcdh11x,Vip,CGE,GABAergic,4455,0.30752,0.69248,0.05679,0.032548,0.062177,0,0.01257,0.003367,0.168799,0.073401,0.051627,0.026263,0.008081,0.03569,0.03771,0.038608,0.046016,0.346352,CCN19103010000045
46_Vip,Vip Pcdh11x,Vip,CGE,GABAergic,4451,0.298135,0.701865,0.068973,0.046506,0.055942,0,0.011683,0.003145,0.186924,0.056167,0.057066,0.026286,0.019771,0.041114,0.02696,0.021344,0.028758,0.34936,CCN19103010000046
47_Vip,Vip Pcdh11x,Vip,CGE,GABAergic,438,0.280822,0.719178,0.050228,0.050228,0.034247,0,0.180365,0.020548,0.009132,0.002283,0.157534,0.002283,0.061644,0.020548,0,0.025114,0.3379,0.047945,CCN19103010000047
48_Vip,Vip Cp Rspo1,Vip,CGE,GABAergic,3103,0.328714,0.671286,0.062842,0.064454,0.047051,0,0.032871,0.012246,0.162101,0.078956,0.067032,0.02127,0.016758,0.028037,0.052208,0.048985,0.079923,0.225266,CCN19103010000048
49_Vip,Vip Cp Rspo1,Vip,CGE,GABAergic,3815,0.358322,0.641678,0.075229,0.069463,0.03329,0,0.062385,0.064482,0.113761,0.064744,0.066841,0.017824,0.069987,0.033552,0.025164,0.031455,0.055046,0.216776,CCN19103010000049
50_Vip,Vip Cp Rspo1,Vip,CGE,GABAergic,4197,0.318084,0.681916,0.072909,0.065285,0.029307,0,0.03979,0.026209,0.146533,0.072433,0.065285,0.022635,0.050751,0.059805,0.022159,0.028115,0.044556,0.254229,CCN19103010000050
51_Vip,Vip Cp Rspo1,Vip,CGE,GABAergic,9016,0.329969,0.670031,0.092502,0.060226,0.039707,0,0.043035,0.03394,0.157387,0.048913,0.068101,0.021406,0.052019,0.050577,0.023403,0.029947,0.060226,0.218611,CCN19103010000051
52_Vip,Vip Lmo1,Vip,CGE,GABAergic,561,0.30303,0.69697,0.069519,0.048128,0.019608,0,0.046346,0.02139,0.226381,0.067736,0.073084,0.016043,0.042781,0.048128,0.033868,0.016043,0.039216,0.231729,CCN19103010000052
53_Vip,Vip Lmo1,Vip,CGE,GABAergic,1056,0.323864,0.676136,0.100379,0.066288,0.027462,0,0.029356,0.012311,0.175189,0.086174,0.075758,0.02178,0.032197,0.039773,0.034091,0.026515,0.050189,0.222538,CCN19103010000053
54_Vip HPF,Vip Cbln4 HPF,Vip,CGE,GABAergic,156,0.429487,0.570513,0.00641,0,0,0,0.057692,0.891026,0.00641,0,0,0,0.038462,0,0,0,0,0,CCN19103010000054
55_Vip HPF,Vip Cbln4 HPF,Vip,CGE,GABAergic,139,0.510791,0.489209,0,0.007194,0,0,0.028777,0.841727,0,0,0,0,0.122302,0,0,0,0,0,CCN19103010000055
56_Vip HPF,Vip Cbln4 HPF,Vip,CGE,GABAergic,690,0.489855,0.510145,0.005797,0.018841,0,0,0.075362,0.750725,0.004348,0.004348,0.011594,0,0.078261,0.004348,0.001449,0.008696,0.033333,0.002899,CCN19103010000056
57_Vip Igfbp6,Vip Igfbp6,Vip,CGE,GABAergic,645,0.293023,0.706977,0.027907,0.031008,0.03876,0,0.003101,0.015504,0.176744,0.051163,0.029457,0.03876,0.026357,0.04186,0.03876,0.035659,0.020155,0.424806,CCN19103010000057
58_Vip Igfbp6,Vip Igfbp6,Vip,CGE,GABAergic,274,0.313869,0.686131,0.018248,0.145985,0.054745,0,0.010949,0.010949,0.160584,0.036496,0.018248,0.021898,0.076642,0.040146,0.014599,0.051095,0.076642,0.262774,CCN19103010000058
59_Vip Igfbp6,Vip Igfbp6,Vip,CGE,GABAergic,2738,0.323594,0.676406,0.044193,0.067933,0.04748,0,0.008035,0.044558,0.157414,0.05588,0.05588,0.027027,0.029584,0.034332,0.012783,0.03214,0.097882,0.284879,CCN19103010000059
60_Vip Igfbp6,Vip Igfbp6,Vip,CGE,GABAergic,1482,0.317814,0.682186,0.076923,0.053306,0.040486,0,0.010796,0.049258,0.203104,0.082996,0.062753,0.024291,0.026991,0.040486,0.022942,0.016194,0.039811,0.249663,CCN19103010000060
61_Vip Igfbp6,Vip Igfbp6,Vip,CGE,GABAergic,983,0.390641,0.609359,0.070193,0.093591,0.030519,0,0.043744,0.118006,0.072228,0.053917,0.09766,0.018311,0.063072,0.042726,0.02645,0.032553,0.085453,0.151577,CCN19103010000061
62_Vip Igfbp6,Vip Igfbp6,Vip,CGE,GABAergic,953,0.365163,0.634837,0.040923,0.072403,0.052466,0,0.025184,0.06191,0.116474,0.058762,0.082896,0.028332,0.043022,0.04617,0.03148,0.051417,0.098636,0.189927,CCN19103010000062
63_Sst Chodl,Sst Chodl,Sst Chodl,MGE,GABAergic,116,0.413793,0.586207,0,0.267241,0.008621,0,0.068966,0.034483,0.060345,0.068966,0.172414,0,0.034483,0.008621,0.008621,0.068966,0.189655,0.008621,CCN19103010000063
64_Sst Chodl,Sst Chodl,Sst Chodl,MGE,GABAergic,1905,0.354331,0.645669,0.049344,0.104462,0.068766,0,0.035171,0.004199,0.16378,0.064567,0.097638,0.016798,0.009449,0.008924,0.062992,0.044619,0.07769,0.191601,CCN19103010000064
65_Sst Chodl,Sst Chodl,Sst Chodl,MGE,GABAergic,222,0.288288,0.711712,0.022523,0.099099,0.027027,0,0.018018,0.009009,0.247748,0.121622,0.103604,0.027027,0,0.009009,0.067568,0.081081,0.067568,0.099099,CCN19103010000065
66_Sst,Sst Syndig1l,Sst,MGE,GABAergic,1311,0.33791,0.66209,0.02746,0.046529,0.070938,0,0,0,0.238749,0.099161,0.048818,0.033562,0,0.019069,0.05492,0.039664,0.010679,0.31045,CCN19103010000066
67_Sst,Sst Syndig1l,Sst,MGE,GABAergic,1079,0.332715,0.667285,0.081557,0.098239,0.042632,0,0.012048,0,0.216867,0.110287,0.092678,0.019462,0.012048,0.082484,0.025023,0.026877,0.027804,0.151993,CCN19103010000067
68_Sst,Sst Syndig1l,Sst,MGE,GABAergic,1156,0.297578,0.702422,0.063149,0.086505,0.044118,0,0.002595,0.000865,0.079585,0.030277,0.062284,0.024221,0.00346,0.103806,0.012976,0.022491,0.07872,0.384948,CCN19103010000068
69_Sst,Sst Syndig1l,Sst,MGE,GABAergic,1633,0.337416,0.662584,0.028781,0.082058,0.078996,0,0.003674,0,0.12921,0.039192,0.064911,0.030618,0.000612,0.011635,0.026944,0.05695,0.090018,0.356399,CCN19103010000069
70_Sst,Sst Crh,Sst,MGE,GABAergic,1450,0.357931,0.642069,0.053103,0.072414,0.073793,0,0.038621,0,0.126207,0.01931,0.088966,0.026897,0.010345,0.063448,0.028276,0.032414,0.075172,0.291034,CCN19103010000070
71_Sst,Sst Crh,Sst,MGE,GABAergic,1624,0.368227,0.631773,0.081281,0.067118,0.069581,0,0.034483,0.001847,0.169335,0.046182,0.093596,0.015394,0.022167,0.06835,0.022167,0.043719,0.082512,0.182266,CCN19103010000071
72_Sst,Sst Crh,Sst,MGE,GABAergic,757,0.541612,0.458388,0.01321,0.018494,0.001321,0,0.524439,0.001321,0,0,0.07926,0,0.297226,0.029062,0,0,0.030383,0.005284,CCN19103010000072
73_Sst,Sst Crh,Sst,MGE,GABAergic,1244,0.347267,0.652733,0.041801,0.058682,0.090032,0,0.004823,0,0.098071,0.022508,0.075563,0.028135,0.006431,0.019293,0.041801,0.039389,0.089228,0.384244,CCN19103010000073
74_Sst,Sst Crh,Sst,MGE,GABAergic,947,0.354805,0.645195,0.088701,0.111932,0.042239,0,0.027455,0.001056,0.195354,0.04963,0.163675,0.015839,0.013728,0.020063,0.035903,0.045407,0.085533,0.103485,CCN19103010000074
75_Sst,Sst Crh,Sst,MGE,GABAergic,1101,0.333333,0.666667,0.082652,0.078111,0.039055,0,0.029973,0.001817,0.114441,0.016349,0.168029,0.010899,0.029064,0.04723,0.016349,0.045413,0.087193,0.233424,CCN19103010000075
76_Sst,Sst Nts,Sst,MGE,GABAergic,1026,0.445419,0.554581,0.026316,0.07115,0.059454,0,0.143275,0.002924,0.074074,0.012671,0.119883,0.026316,0.077973,0.012671,0.05653,0.049708,0.066277,0.20078,CCN19103010000076
77_Sst HPF,Sst Lmo1 HPF,Sst,MGE,GABAergic,117,0.299145,0.700855,0.060345,0,0,0,0,0.301724,0.008621,0.008621,0.025862,0,0.534483,0.051724,0,0,0,0.008621,CCN19103010000077
78_Sst HPF,Sst Lmo1 HPF,Sst,MGE,GABAergic,191,0.497382,0.502618,0.026178,0,0,0,0.015707,0.539267,0,0,0.005236,0,0.408377,0.005236,0,0,0,0,CCN19103010000078
79_Sst,Sst Myh8,Sst,MGE,GABAergic,156,0.301282,0.698718,0.070513,0.012821,0,0,0.038462,0.192308,0.025641,0,0.012821,0.00641,0.487179,0.096154,0,0,0.00641,0.051282,CCN19103010000079
80_Sst,Sst Myh8,Sst,MGE,GABAergic,657,0.456621,0.543379,0.031963,0,0.001522,0,0.053272,0.076104,0.004566,0.001522,0.047184,0.006088,0.681887,0.022831,0,0,0.015221,0.057839,CCN19103010000080
81_Sst,Sst Myh8,Sst,MGE,GABAergic,1600,0.321875,0.678125,0.060625,0.11375,0.0475,0,0.001875,0.000625,0.11625,0.02,0.161875,0.018125,0.02375,0.030625,0.015,0.035625,0.12375,0.230625,CCN19103010000081
82_Sst,Sst Myh8,Sst,MGE,GABAergic,9319,0.304003,0.695997,0.071038,0.085095,0.043996,0,0.002146,0.00161,0.197017,0.072325,0.101942,0.02114,0.004507,0.034124,0.021462,0.026398,0.051078,0.266123,CCN19103010000082
83_Sst,Sst Myh8,Sst,MGE,GABAergic,622,0.290997,0.709003,0.046624,0.057878,0.040193,0,0.003215,0,0.114148,0.022508,0.027331,0.041801,0.001608,0.028939,0.006431,0.011254,0.027331,0.57074,CCN19103010000083
84_Sst,Sst Myh8,Sst,MGE,GABAergic,1106,0.320072,0.679928,0.040687,0.112116,0.033454,0,0.092224,0.006329,0.105787,0.020796,0.078662,0.017179,0.056962,0.025316,0.006329,0.045208,0.088608,0.270344,CCN19103010000084
85_Sst,Sst Etv1,Sst,MGE,GABAergic,762,0.267717,0.732283,0.011811,0.206037,0.018373,0,0.02231,0.006562,0.230971,0.032808,0.057743,0.014436,0.011811,0.007874,0.003937,0.072178,0.090551,0.212598,CCN19103010000085
86_Sst,Sst Etv1,Sst,MGE,GABAergic,383,0.27154,0.72846,0.028721,0.057441,0.041775,0,0.013055,0,0.117493,0.023499,0.039164,0.028721,0,0.028721,0.015666,0.02611,0.075718,0.503916,CCN19103010000086
87_Sst,Sst Etv1,Sst,MGE,GABAergic,206,0.616505,0.383495,0.004854,0.004854,0,0,0.606796,0.135922,0,0,0.004854,0,0.242718,0,0,0,0,0,CCN19103010000087
88_Sst,Sst Nmbr,Sst,MGE,GABAergic,2775,0.385225,0.614775,0.053713,0.113194,0.046864,0,0.091565,0.005768,0.150685,0.060923,0.116078,0.015862,0.015501,0.034247,0.032805,0.053713,0.057318,0.151766,CCN19103010000088
89_Sst,Sst Nmbr,Sst,MGE,GABAergic,507,0.335306,0.664694,0.031558,0.122288,0.04142,0,0.021696,0.001972,0.195266,0.069034,0.177515,0.019724,0.003945,0.017751,0.057199,0.069034,0.065089,0.106509,CCN19103010000089
90_Sst,Sst Nmbr,Sst,MGE,GABAergic,1011,0.310584,0.689416,0.109792,0.037587,0.038576,0,0.01088,0.004946,0.297725,0.085064,0.064293,0.016815,0.003956,0.077151,0.026706,0.030663,0.023739,0.172107,CCN19103010000090
91_Sst,Sst Nmbr,Sst,MGE,GABAergic,1515,0.40132,0.59868,0.036304,0.179538,0.057426,0,0.027723,0.00264,0.093729,0.014521,0.116832,0.013861,0.006601,0.016502,0.015182,0.081848,0.171617,0.165677,CCN19103010000091
92_Sst,Sst Nmbr,Sst,MGE,GABAergic,270,0.337037,0.662963,0.018519,0.111111,0.044444,0,0.014815,0.003704,0.122222,0.07037,0.240741,0.011111,0.022222,0.011111,0.037037,0.092593,0.125926,0.074074,CCN19103010000092
93_Sst,Sst Nmbr,Sst,MGE,GABAergic,923,0.371614,0.628386,0.04442,0.130011,0.074756,0,0.007584,0,0.074756,0.028169,0.156013,0.021668,0.002167,0.020585,0.019502,0.073673,0.149512,0.197183,CCN19103010000093
94_Sst,Sst Nmbr,Sst,MGE,GABAergic,765,0.32549,0.67451,0.075817,0.024837,0.078431,0,0.011765,0.002614,0.179085,0.037908,0.040523,0.040523,0.001307,0.039216,0.045752,0.043137,0.018301,0.360784,CCN19103010000094
95_Sst,Sst Nmbr,Sst,MGE,GABAergic,99,0.363636,0.636364,0.020202,0,0,0,0.353535,0,0,0,0,0,0.434343,0.121212,0,0,0.030303,0.040404,CCN19103010000095
96_Sst,Sst Hpse,Sst,MGE,GABAergic,1799,0.299611,0.700389,0.07393,0.039466,0.070595,0,0.000556,0,0.122846,0.043357,0.06726,0.04169,0.001112,0.054475,0.020011,0.030017,0.041134,0.393552,CCN19103010000096
97_Sst,Sst Hpse,Sst,MGE,GABAergic,1097,0.329991,0.670009,0.018232,0.060164,0.0866,0,0.000912,0,0.060164,0.012762,0.054695,0.041933,0.000912,0.013674,0.020055,0.041021,0.100273,0.488605,CCN19103010000097
98_Sst,Sst Calb2,Sst,MGE,GABAergic,6207,0.338328,0.661672,0.082179,0.104415,0.047696,0,0.044473,0.003223,0.138898,0.050757,0.066226,0.017403,0.012085,0.056719,0.019014,0.034966,0.093458,0.228489,CCN19103010000098
99_Sst,Sst Mme,Sst,MGE,GABAergic,3696,0.356872,0.643128,0.063853,0.132305,0.046807,0,0.039232,0.008929,0.143939,0.058442,0.089556,0.016234,0.010281,0.018669,0.011093,0.035714,0.123106,0.20184,CCN19103010000099
100_Sst,Sst Mme,Sst,MGE,GABAergic,850,0.235294,0.764706,0.02,0.027059,0.064706,0,0,0.001176,0.123529,0.018824,0.036471,0.030588,0.001176,0.035294,0.009412,0.018824,0.007059,0.605882,CCN19103010000100
101_Sst,Sst Mme,Sst,MGE,GABAergic,33,0.151515,0.848485,0,0,0,0,0.060606,0,0,0,0,0,0.848485,0.090909,0,0,0,0,CCN19103010000101
102_Sst HPF,Sst Ctsc HPF,Sst,MGE,GABAergic,101,0.60396,0.39604,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CCN19103010000102
103_Sst HPF,Sst Ctsc HPF,Sst,MGE,GABAergic,114,0.535088,0.464912,0.008772,0,0,0,0,0.973684,0,0,0,0,0.017544,0,0,0,0,0,CCN19103010000103
104_Sst HPF,Sst Ctsc HPF,Sst,MGE,GABAergic,143,0.41958,0.58042,0,0,0,0,0.034965,0.881119,0,0,0.006993,0,0.062937,0,0,0.006993,0.006993,0,CCN19103010000104
105_Sst HPF,Sst Ctsc HPF,Sst,MGE,GABAergic,143,0.622378,0.377622,0,0.006993,0,0,0.587413,0.195804,0,0,0.013986,0.006993,0.153846,0.006993,0,0,0.006993,0.020979,CCN19103010000105
106_Sst HPF,Sst Ctsc HPF,Sst,MGE,GABAergic,253,0.533597,0.466403,0,0,0,0,0.758893,0,0,0,0,0,0.233202,0.007905,0,0,0,0,CCN19103010000106
107_Sst HPF,Sst Ctsc HPF,Sst,MGE,GABAergic,230,0.504348,0.495652,0,0.004348,0,0,0.813043,0.021739,0,0,0,0,0.134783,0,0,0,0.026087,0,CCN19103010000107
108_Pvalb,Pvalb Th,Pvalb,MGE,GABAergic,412,0.451456,0.548544,0.009709,0.116505,0.065534,0,0.118932,0.004854,0.046117,0.009709,0.203883,0.012136,0.082524,0.012136,0.024272,0.058252,0.075243,0.160194,CCN19103010000108
109_Pvalb,Pvalb Th,Pvalb,MGE,GABAergic,1768,0.324661,0.675339,0.036199,0.059955,0.069005,0,0.015837,0.003959,0.13009,0.039593,0.139706,0.022059,0.032805,0.032805,0.016403,0.061086,0.113122,0.227376,CCN19103010000109
110_Pvalb,Pvalb Th,Pvalb,MGE,GABAergic,399,0.37594,0.62406,0.102757,0.017544,0.025063,0,0.025063,0.015038,0.122807,0.02005,0.170426,0.007519,0.24812,0.085213,0.010025,0.012531,0.022556,0.115288,CCN19103010000110
111_Pvalb,Pvalb Lpl,Pvalb,MGE,GABAergic,1118,0.293381,0.706619,0.028623,0.060823,0.034884,0,0.050984,0.006261,0.132379,0.013417,0.133274,0.010733,0.093918,0.025045,0.011628,0.034884,0.083184,0.279964,CCN19103010000111
