"sample_id","cluster","class","subclass","Genes.Detected","donor","sex","roi","percent_reads_aligned_to_introns"
"LS-15093_S11_E1-50","Inh L2-3 VIP CASC6","GABAergic","VIP",4952,"H200.1030","M","MTG_L5",47.9145469369888
"LS-15093_S22_E1-50","Exc L4-5 RORB FOLH1B","Glutamatergic","L5 IT",6713,"H200.1030","M","MTG_L5",50.1658466136564
"LS-15093_S28_E1-50","Exc L5-6 THEMIS CRABP1","Glutamatergic","L6 IT",5709,"H200.1030","M","MTG_L5",53.3725580606827
"LS-15093_S35_E1-50","Exc L4-6 FEZF2 IL26","Glutamatergic","L5/6 NP",4446,"H200.1030","M","MTG_L5",49.0221901392424
"LS-15093_S38_E1-50","Exc L4-5 RORB DAPK2","Glutamatergic","L5 IT",4214,"H200.1030","M","MTG_L5",45.5549569157718
"LS-15093_S39_E1-50","Exc L3-5 RORB TWIST2","Glutamatergic","L4 IT",4386,"H200.1030","M","MTG_L5",44.0787351512143
"LS-15093_S45_E1-50","Inh L3-6 SST HPGD","GABAergic","SST",4036,"H200.1030","M","MTG_L5",40.2034071027027
"LS-15093_S47_E1-50","Exc L5-6 FEZF2 ABO","Glutamatergic","L6 CT",6588,"H200.1030","M","MTG_L5",52.9059574191897
"LS-15093_S53_E1-50","Exc L5-6 THEMIS C1QL3","Glutamatergic","L6 IT",6036,"H200.1030","M","MTG_L5",42.4859715569555
"LS-15093_S55_E1-50","Inh L5-6 SST NPM1P10","GABAergic","SST",3904,"H200.1030","M","MTG_L5",44.806598575712
"LS-15093_S57_E1-50","Inh L5-6 SST MIR548F2","GABAergic","PVALB",5245,"H200.1030","M","MTG_L5",49.1564036389271
"LS-15093_S58_E1-50","Inh L4-5 PVALB MEPE","GABAergic","PVALB",3819,"H200.1030","M","MTG_L5",40.5028444205259
"LS-15093_S59_E1-50","Inh L5-6 SST TH","GABAergic","SST",4990,"H200.1030","M","MTG_L5",24.4711626553998
"LS-15573_S01_E1-50","OPC L1-6 PDGFRA","Non-neuronal","OPC",1190,"H200.1030","M","MTG_L1",64.0515580187411
"LS-15573_S02_E1-50","Inh L1-2 VIP PCDH20","GABAergic","VIP",2645,"H200.1030","M","MTG_L1",48.0350248813933
"LS-15573_S05_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",3134,"H200.1030","M","MTG_L1",52.1066849635494
"LS-15573_S09_E1-50","Astro L1-2 FGFR3 GFAP","Non-neuronal","Astrocyte",1607,"H200.1030","M","MTG_L1",52.6865835376985
"LS-15573_S17_E1-50","Astro L1-2 FGFR3 GFAP","Non-neuronal","Astrocyte",2015,"H200.1030","M","MTG_L1",52.068118402357
"LS-15573_S19_E1-50","Inh L1-3 VIP SYT6","GABAergic","VIP",5278,"H200.1030","M","MTG_L1",45.8834800143052
"LS-15573_S20_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",2981,"H200.1030","M","MTG_L1",62.0387364419513
"LS-15573_S21_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",1907,"H200.1030","M","MTG_L1",55.0442852095854
