"sample_id","cluster","class","subclass","Genes.Detected","donor","sex","roi","percent_reads_aligned_to_introns"
"LS-15573_S23_E1-50","Exc L2 LAMP5 LTK","Glutamatergic","L2/3 IT",4066,"H200.1030","M","MTG_L1",57.3720536723844
"LS-15574_S02_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",2294,"H200.1030","M","MTG_L1",63.5893160854064
"LS-15574_S03_E1-50","Inh L1-2 VIP TSPAN12","GABAergic","VIP",3116,"H200.1030","M","MTG_L1",50.2228778425954
"LS-15574_S05_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",3005,"H200.1030","M","MTG_L1",53.8930355362538
"LS-15574_S09_E1-50","OPC L1-6 PDGFRA","Non-neuronal","OPC",1750,"H200.1030","M","MTG_L1",64.4783950235679
"LS-15574_S17_E1-50","Astro L1-2 FGFR3 GFAP","Non-neuronal","Astrocyte",1755,"H200.1030","M","MTG_L1",49.2784587101893
"LS-15574_S21_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",3468,"H200.1030","M","MTG_L1",41.6033824920769
"SM-D9EPL_S10_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",3596,"H200.1030","M","MTG_L1",43.6285200399789
"SM-D9EPL_S15_E1-50","Inh L1-3 VIP SYT6","GABAergic","VIP",3486,"H200.1030","M","MTG_L1",50.496386942378
"SM-D9EPL_S19_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",3044,"H200.1030","M","MTG_L1",41.0227322545706
"SM-D9EPL_S20_E1-50","Inh L1-2 VIP PCDH20","GABAergic","VIP",3012,"H200.1030","M","MTG_L1",46.6774844055555
"SM-D9EPL_S21_E1-50","Inh L1 SST CHRNA4","GABAergic","LAMP5/PAX6/Other",2213,"H200.1030","M","MTG_L1",61.866136574765
"SM-D9EPL_S24_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",3017,"H200.1030","M","MTG_L1",37.4281789049294
"SM-D9EPL_S25_E1-50","Micro L1-6 TYROBP","Non-neuronal","Microglia",881,"H200.1030","M","MTG_L1",40.8641635469392
"SM-D9EPL_S26_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",3391,"H200.1030","M","MTG_L1",45.22966321448
"SM-D9EPL_S27_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",2394,"H200.1030","M","MTG_L1",64.8840113096913
"SM-D9EPL_S29_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",2196,"H200.1030","M","MTG_L1",64.2169306753663
"SM-D9EPL_S31_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",3015,"H200.1030","M","MTG_L1",51.0895676056068
"LS-15575_S03_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",2440,"H200.1030","M","MTG_L1",49.7509441000602
"LS-15575_S07_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",4251,"H200.1030","M","MTG_L1",25.1615784841559
"LS-15575_S22_E1-50","Inh L1 SST CHRNA4","GABAergic","LAMP5/PAX6/Other",3694,"H200.1030","M","MTG_L1",42.2363081511236
"LS-15575_S23_E1-50","Inh L2-5 VIP TYR","GABAergic","VIP",3115,"H200.1030","M","MTG_L1",55.2744195884435
"LS-15575_S24_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",3222,"H200.1030","M","MTG_L1",63.2581505733074
"LS-15575_S25_E1-50","Inh L1-3 VIP GGH","GABAergic","VIP",3089,"H200.1030","M","MTG_L1",37.7468005244475
"LS-15575_S26_E1-50","Inh L1-2 VIP PCDH20","GABAergic","VIP",3421,"H200.1030","M","MTG_L1",41.8108801646165
"LS-15575_S28_E1-50","Inh L2-6 LAMP5 CA1","GABAergic","LAMP5/PAX6/Other",3139,"H200.1030","M","MTG_L1",63.8405169832209
"LS-15578_S02_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",2499,"H200.1030","M","MTG_L1",61.6395748924848
"LS-15578_S05_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",4572,"H200.1030","M","MTG_L1",53.1350586682214
"LS-15578_S06_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",2293,"H200.1030","M","MTG_L1",51.5500031402959
"LS-15578_S07_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",3698,"H200.1030","M","MTG_L1",39.3272578549851
"LS-15578_S10_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",2175,"H200.1030","M","MTG_L1",65.2639938696939
"LS-15578_S14_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",2839,"H200.1030","M","MTG_L1",63.4818704880809
"LS-15578_S16_E1-50","Astro L1-2 FGFR3 GFAP","Non-neuronal","Astrocyte",1586,"H200.1030","M","MTG_L1",46.5115519920834
"LS-15584_S04_E1-50","Inh L2-3 VIP CASC6","GABAergic","VIP",3860,"H200.1030","M","MTG_L1",50.5590644285995
"LS-15584_S06_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",3471,"H200.1030","M","MTG_L1",55.9613836396832
"LS-15584_S09_E1-50","Inh L1-4 VIP OPRM1","GABAergic","VIP",2724,"H200.1030","M","MTG_L1",45.1110937207979
"LS-15584_S13_E1-50","Inh L1 SST CHRNA4","GABAergic","LAMP5/PAX6/Other",2477,"H200.1030","M","MTG_L1",37.6565649762238
"LS-15584_S18_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",3548,"H200.1030","M","MTG_L1",51.1810497394841
"LS-15584_S32_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",3684,"H200.1030","M","MTG_L1",48.803477431214
"LS-15585_S03_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",4132,"H200.1030","M","MTG_L1",34.4962700648887
"LS-15585_S06_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",2752,"H200.1030","M","MTG_L1",59.8341574712789
"LS-15585_S15_E1-50","Inh L1-4 VIP OPRM1","GABAergic","VIP",3041,"H200.1030","M","MTG_L1",41.4953330393009
"LS-15585_S18_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",2944,"H200.1030","M","MTG_L1",41.996042564887
"LS-15585_S20_E1-50","Inh L2-4 PVALB WFDC2","GABAergic","PVALB",2895,"H200.1030","M","MTG_L1",65.46594808205
"LS-15585_S23_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",3641,"H200.1030","M","MTG_L1",55.3953106464711
"SM-D9EPJ_S10_E1-50","Inh L1 SST CHRNA4","GABAergic","LAMP5/PAX6/Other",2819,"H200.1030","M","MTG_L1",60.9147394151573
"SM-D9EPJ_S12_E1-50","Inh L1-2 VIP LBH","GABAergic","VIP",3400,"H200.1030","M","MTG_L1",47.5224456634617
"SM-D9EPJ_S13_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",2207,"H200.1030","M","MTG_L1",51.5259575538094
"SM-D9EPJ_S15_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",3728,"H200.1030","M","MTG_L1",38.8586477332811
"SM-D9EPJ_S17_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",3012,"H200.1030","M","MTG_L1",59.8219677806001
"SM-D9EPJ_S23_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",3047,"H200.1030","M","MTG_L1",56.7719937709332
"SM-D9EPJ_S25_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",1770,"H200.1030","M","MTG_L1",43.6740554781977
"SM-D9EPJ_S28_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",2398,"H200.1030","M","MTG_L1",65.8062451241268
"SM-D9EPJ_S29_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",1822,"H200.1030","M","MTG_L1",45.1223658327649
"SM-D9EPK_S08_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",4966,"H200.1030","M","MTG_L1",57.6210671146236
"SM-D9EPK_S17_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",2819,"H200.1030","M","MTG_L1",52.2260914676457
"SM-D9EPK_S20_E1-50","Inh L1-2 VIP LBH","GABAergic","VIP",5147,"H200.1030","M","MTG_L1",46.6412594190081
"SM-D9EPE_S02_E1-50","Exc L2 LAMP5 LTK","Glutamatergic","L2/3 IT",4214,"H200.1030","M","MTG_L1",50.1930586897057
"SM-D9EPE_S07_E1-50","Inh L2-4 SST FRZB","GABAergic","SST",2992,"H200.1030","M","MTG_L1",64.8987975583609
"SM-D9EPE_S08_E1-50","Inh L2-4 VIP CBLN1","GABAergic","VIP",2464,"H200.1030","M","MTG_L1",41.018338504873
"SM-D9EPE_S11_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",3512,"H200.1030","M","MTG_L1",46.9065549921847
"SM-D9EPE_S12_E1-50","Inh L1-2 VIP PCDH20","GABAergic","VIP",3139,"H200.1030","M","MTG_L1",49.4523388195231
"SM-D9EPE_S14_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",2557,"H200.1030","M","MTG_L1",50.9139731713383
"SM-D9EPE_S16_E1-50","Astro L1-2 FGFR3 GFAP","Non-neuronal","Astrocyte",1491,"H200.1030","M","MTG_L1",50.1929067534669
"SM-D9EPE_S18_E1-50","Inh L1-3 VIP ADAMTSL1","GABAergic","VIP",4228,"H200.1030","M","MTG_L1",42.4664186133741
"SM-D9EPE_S20_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",2704,"H200.1030","M","MTG_L1",45.2167616291358
"SM-D9EPE_S23_E1-50","Inh L1-2 VIP PCDH20","GABAergic","VIP",2695,"H200.1030","M","MTG_L1",59.882917291196
"SM-D9EPE_S24_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",3660,"H200.1030","M","MTG_L1",53.7269176805701
"SM-D9EPE_S29_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",2569,"H200.1030","M","MTG_L1",52.7244367118922
"SM-D9EPE_S30_E1-50","Inh L1-2 VIP LBH","GABAergic","VIP",4175,"H200.1030","M","MTG_L1",38.8432432584672
"SM-D9EPE_S31_E1-50","Inh L1 SST CHRNA4","GABAergic","LAMP5/PAX6/Other",2627,"H200.1030","M","MTG_L1",47.1117971674609
"SM-D9EPE_S32_E1-50","Inh L1-3 VIP ADAMTSL1","GABAergic","VIP",3798,"H200.1030","M","MTG_L1",51.5263821656075
"SM-D9EPF_S06_E1-50","Inh L2-4 PVALB WFDC2","GABAergic","PVALB",3400,"H200.1030","M","MTG_L1",61.6863639992508
"SM-D9EPF_S17_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",1954,"H200.1030","M","MTG_L1",51.6165805070471
"SM-D9EPF_S18_E1-50","Inh L1 SST CHRNA4","GABAergic","LAMP5/PAX6/Other",2310,"H200.1030","M","MTG_L1",46.8050212051893
"SM-D9EPF_S19_E1-50","Inh L1-2 VIP PCDH20","GABAergic","VIP",3840,"H200.1030","M","MTG_L1",32.6783884572931
"LS-15039_S02_E1-50","Inh L4-5 SST STK32A","GABAergic","SST",3174,"H16.06.002","F","MTG_L5",53.2936694314371
"LS-15039_S08_E1-50","Oligo L1-6 OPALIN","Non-neuronal","Oligo",1400,"H16.06.002","F","MTG_L5",52.7619641222106
"LS-15039_S09_E1-50","Inh L4-6 SST B3GAT2","GABAergic","SST",3377,"H16.06.002","F","MTG_L5",58.9846037798738
"LS-15039_S13_E1-50","Exc L3-5 RORB ESR1","Glutamatergic","L4 IT",4259,"H16.06.002","F","MTG_L5",54.5530819016165
"LS-15039_S18_E1-50","Exc L4-6 FEZF2 IL26","Glutamatergic","L5/6 NP",4723,"H16.06.002","F","MTG_L5",61.4377862465515
"LS-15039_S25_E1-50","Inh L2-5 PVALB SCUBE3","GABAergic","Chandelier",4406,"H16.06.002","F","MTG_L5",53.6460537474649
"LS-15039_S26_E1-50","Inh L1-3 VIP ADAMTSL1","GABAergic","VIP",4219,"H16.06.002","F","MTG_L5",55.4930203668248
"LS-15039_S32_E1-50","Oligo L1-6 OPALIN","Non-neuronal","Oligo",1421,"H16.06.002","F","MTG_L5",47.079218878463
"LS-15039_S37_E1-50","Inh L2-4 PVALB WFDC2","GABAergic","PVALB",4353,"H16.06.002","F","MTG_L5",56.9014499943105
"LS-15039_S39_E1-50","Inh L4-6 PVALB SULF1","GABAergic","PVALB",4966,"H16.06.002","F","MTG_L5",54.6597081661868
"LS-15040_S07_E1-50","Exc L4-5 RORB FOLH1B","Glutamatergic","L5 IT",5894,"H16.06.002","F","MTG_L5",60.6126119783488
"LS-15040_S08_E1-50","Endo L2-6 NOSTRIN","Non-neuronal","Endothelial",1505,"H16.06.002","F","MTG_L5",49.7777561320264
"LS-15040_S17_E1-50","Exc L4-5 RORB FOLH1B","Glutamatergic","L5 IT",6207,"H16.06.002","F","MTG_L5",64.9189681216244
"LS-15040_S18_E1-50","Exc L3-5 RORB TWIST2","Glutamatergic","L4 IT",4614,"H16.06.002","F","MTG_L5",59.9909935190809
"LS-15040_S19_E1-50","Inh L4-6 SST B3GAT2","GABAergic","SST",3009,"H16.06.002","F","MTG_L5",62.0778495249893
"LS-15040_S22_E1-50","Inh L4-5 SST STK32A","GABAergic","SST",3035,"H16.06.002","F","MTG_L5",56.0400361447321
"LS-15040_S25_E1-50","Exc L3-5 RORB ESR1","Glutamatergic","L4 IT",4234,"H16.06.002","F","MTG_L5",58.969455055184
"LS-15040_S29_E1-50","Exc L3-5 RORB COL22A1","Glutamatergic","L4 IT",5159,"H16.06.002","F","MTG_L5",59.2399225260141
"LS-15040_S35_E1-50","Inh L2-5 VIP SERPINF1","GABAergic","VIP",3978,"H16.06.002","F","MTG_L5",59.3190257951862
"LS-15040_S40_E1-50","Oligo L1-6 OPALIN","Non-neuronal","Oligo",1305,"H16.06.002","F","MTG_L5",59.640744247358
"LS-15040_S42_E1-50","Inh L4-5 SST STK32A","GABAergic","SST",4609,"H16.06.002","F","MTG_L5",54.5588358875123
"LS-15040_S43_E1-50","Inh L5-6 SST NPM1P10","GABAergic","SST",4386,"H16.06.002","F","MTG_L5",57.8225498058332
"LS-15040_S45_E1-50","Inh L2-5 VIP SERPINF1","GABAergic","VIP",3800,"H16.06.002","F","MTG_L5",54.3158217104473
"LS-15040_S47_E1-50","Inh L2-5 VIP TYR","GABAergic","VIP",2986,"H16.06.002","F","MTG_L5",62.49292812931
"LS-15093_S69_E1-50","Inh L5-6 SST MIR548F2","GABAergic","PVALB",2251,"H200.1025","M","MTG_L5",47.2123442446495
"LS-15093_S70_E1-50","Exc L5-6 FEZF2 EFTUD1P1","Glutamatergic","L6b",4257,"H200.1025","M","MTG_L5",51.8554615667966
"LS-15093_S72_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",2967,"H200.1025","M","MTG_L5",47.2693703230214
"LS-15093_S74_E1-50","Inh L1-3 VIP ADAMTSL1","GABAergic","VIP",4589,"H200.1025","M","MTG_L5",46.7387523553836
"LS-15093_S82_E1-50","Inh L5-6 SST KLHDC8A","GABAergic","SST",4160,"H200.1025","M","MTG_L5",34.156114069834
"LS-15093_S83_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",3390,"H200.1025","M","MTG_L5",60.8528132337179
"LS-15093_S84_E1-50","Exc L5-6 RORB TTC12","Glutamatergic","L5 IT",5886,"H200.1025","M","MTG_L5",54.8753553083332
"LS-15093_S94_E1-50","Exc L5-6 THEMIS FGF10","Glutamatergic","L6 IT",5256,"H200.1025","M","MTG_L5",54.8996726696686
"LS-15093_S95_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",4353,"H200.1025","M","MTG_L5",54.9719078756274
"LS-15397_S25_E1-50","Exc L4-5 RORB FOLH1B","Glutamatergic","L5 IT",7283,"H200.1025","M","MTG_L5",66.6672164458505
"LS-15397_S26_E1-50","Inh L3-6 VIP HS3ST3A1","GABAergic","VIP",6137,"H200.1025","M","MTG_L5",37.4594751252098
"LS-15397_S29_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",4438,"H200.1025","M","MTG_L5",46.9951952114491
"LS-15397_S30_E1-50","Exc L4-5 FEZF2 SCN4B","Glutamatergic","L5 PT",7534,"H200.1025","M","MTG_L5",60.7705307278131
"LS-15397_S32_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",2368,"H200.1025","M","MTG_L5",52.1111197285702
"LS-15397_S43_E1-50","Exc L4-6 RORB SEMA3E","Glutamatergic","L5 IT",5349,"H200.1025","M","MTG_L5",59.2529626442146
"LS-15397_S45_E1-50","Exc L4-6 FEZF2 IL26","Glutamatergic","L5/6 NP",3811,"H200.1025","M","MTG_L5",62.6338824453395
"LS-15397_S48_E1-50","OPC L1-6 PDGFRA","Non-neuronal","OPC",1773,"H200.1025","M","MTG_L5",61.1718655226373
"LS-15578_S90_E1-50","Inh L2-4 VIP CBLN1","GABAergic","VIP",2809,"H200.1030","M","MTG_L2",60.2456685585118
"LS-15578_S91_E1-50","Inh L1-2 VIP PCDH20","GABAergic","VIP",3795,"H200.1030","M","MTG_L2",65.7346548754466
"LS-15578_S93_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",2432,"H200.1030","M","MTG_L2",63.7681659614666
"LS-15578_S95_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",2112,"H200.1030","M","MTG_L2",61.8928387680828
"LS-15584_S38_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",3068,"H200.1030","M","MTG_L2",55.4705704479581
"LS-15584_S41_E1-50","Exc L2 LAMP5 LTK","Glutamatergic","L2/3 IT",4109,"H200.1030","M","MTG_L2",53.991623675987
"LS-15584_S46_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",2312,"H200.1030","M","MTG_L2",60.6263513883798
"LS-15584_S47_E1-50","Inh L1-3 VIP ADAMTSL1","GABAergic","VIP",3769,"H200.1030","M","MTG_L2",54.3348133334751
"LS-15585_S27_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",4646,"H200.1030","M","MTG_L2",57.5782202943882
"LS-15585_S30_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",2274,"H200.1030","M","MTG_L2",59.9501697021579
"LS-15585_S35_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",7220,"H200.1030","M","MTG_L2",55.7397268677543
"LS-15502_S25_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",3977,"H200.1030","M","MTG_L2",61.839356953625
"LS-15502_S30_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",2920,"H200.1030","M","MTG_L2",63.2980731821846
"LS-15502_S31_E1-50","Inh L2-4 PVALB WFDC2","GABAergic","PVALB",5240,"H200.1030","M","MTG_L2",55.502156808701
"LS-15502_S35_E1-50","Exc L3-4 RORB CARM1P1","Glutamatergic","L4 IT",6262,"H200.1030","M","MTG_L3",57.5677017610359
"LS-15512_S09_E1-50","Exc L3-5 RORB FILIP1L","Glutamatergic","L4 IT",4483,"H200.1030","M","MTG_L3",60.215988446308
"LS-15516_S01_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",4135,"H200.1030","M","MTG_L3",59.2213045844068
"LS-15516_S02_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",4686,"H200.1030","M","MTG_L3",56.425758249429
"LS-15516_S05_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",3741,"H200.1030","M","MTG_L3",48.6497323847278
"LS-15517_S09_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",5625,"H200.1030","M","MTG_L3",62.3970171008362
"LS-15517_S14_E1-50","Exc L3-5 RORB ESR1","Glutamatergic","L4 IT",2319,"H200.1030","M","MTG_L3",43.9395514680397
"LS-15517_S15_E1-50","Inh L1-2 VIP LBH","GABAergic","VIP",6324,"H200.1030","M","MTG_L3",58.623487633373
"LS-15517_S17_E1-50","Exc L3-4 RORB CARM1P1","Glutamatergic","L4 IT",4874,"H200.1030","M","MTG_L3",52.263413909501
"LS-15517_S19_E1-50","Exc L3-5 RORB TWIST2","Glutamatergic","L4 IT",5702,"H200.1030","M","MTG_L3",60.7565984248553
"LS-15517_S20_E1-50","Inh L3-6 VIP HS3ST3A1","GABAergic","VIP",6210,"H200.1030","M","MTG_L3",57.9664400765557
"LS-15518_S01_E1-50","Exc L3-5 RORB COL22A1","Glutamatergic","L4 IT",4359,"H200.1030","M","MTG_L3",54.5908257357907
"LS-15518_S02_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",4592,"H200.1030","M","MTG_L3",56.8597077359304
"LS-15518_S05_E1-50","Inh L2-5 VIP SERPINF1","GABAergic","VIP",3733,"H200.1030","M","MTG_L3",53.5317005796764
"LS-15518_S10_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",2952,"H200.1030","M","MTG_L3",47.6826088346025
"LS-15518_S12_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",3881,"H200.1030","M","MTG_L3",58.0856002852198
"LS-15518_S21_E1-50","Inh L2-4 VIP CBLN1","GABAergic","VIP",3686,"H200.1030","M","MTG_L3",59.9815193450737
"LS-15527_S01_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",2873,"H200.1030","M","MTG_L3",38.1092966939124
"LS-15527_S06_E1-50","Inh L1-2 VIP LBH","GABAergic","VIP",5199,"H200.1030","M","MTG_L3",55.7343307954657
"LS-15527_S09_E1-50","Inh L2-5 VIP SERPINF1","GABAergic","VIP",1926,"H200.1030","M","MTG_L3",53.5919573613283
"LS-15527_S12_E1-50","Inh L2-6 VIP QPCT","GABAergic","VIP",2931,"H200.1030","M","MTG_L3",58.0623597551106
"LS-15527_S13_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",3291,"H200.1030","M","MTG_L3",58.9911139464532
"LS-15528_S03_E1-50","Inh L3-6 VIP HS3ST3A1","GABAergic","VIP",2531,"H200.1030","M","MTG_L3",62.1621882877739
"LS-15528_S04_E1-50","Inh L2-3 VIP CASC6","GABAergic","VIP",3838,"H200.1030","M","MTG_L3",65.0840937870426
"LS-15530_S02_E1-50","Inh L1-3 VIP ADAMTSL1","GABAergic","VIP",5174,"H200.1030","M","MTG_L3",58.5581289508169
"LS-15530_S06_E1-50","Inh L2-4 VIP CBLN1","GABAergic","VIP",3036,"H200.1030","M","MTG_L3",60.6238802362636
"LS-15530_S07_E1-50","Inh L2-4 VIP SPAG17","GABAergic","VIP",3331,"H200.1030","M","MTG_L3",60.7919538558391
"LS-15547_S02_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",3687,"H200.1030","M","MTG_L3",62.6556573440063
"LS-15547_S03_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",3600,"H200.1030","M","MTG_L3",54.4421215257632
"LS-15547_S05_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",5442,"H200.1030","M","MTG_L3",60.828461980084
"LS-15547_S07_E1-50","Exc L4-5 RORB FOLH1B","Glutamatergic","L5 IT",5209,"H200.1030","M","MTG_L3",60.6351693325617
"LS-15547_S13_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",6704,"H200.1030","M","MTG_L3",65.5424095353462
"LS-15547_S15_E1-50","Inh L2-3 VIP CASC6","GABAergic","VIP",5234,"H200.1030","M","MTG_L3",57.0807064299112
"LS-15547_S20_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",5964,"H200.1030","M","MTG_L3",60.3427824998562
"LS-15547_S22_E1-50","Inh L1-4 VIP CHRNA6","GABAergic","VIP",3723,"H200.1030","M","MTG_L3",57.3386313038303
